accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1,accX2,accY2,accZ2,gyroX2,gyroY2,gyroZ2
-4.125,-19.298,-7.591,0.67,3.492,-4.373,-20.318,-3.946,-5.067,0.0,0.73,-0.33
-9.478,-18.549,-8.087,1.137,-0.51,-4.373,-2.734,2.867,0.201,-0.131,0.0,-1.07
-3.993,-10.283,-10.0,0.228,-1.995,-0.53,-0.683,2.085,-1.551,0.0,1.96,0.146
-1.74,-8.502,-9.191,-0.265,-0.116,-0.466,0.295,0.452,-2.745,0.0,0.908,0.0
-4.153,-8.632,-9.349,0.635,0.354,-0.131,-0.289,0.163,-1.254,0.192,0.828,0.0
-3.957,-9.866,-10.449,0.116,-0.565,1.37,-0.85,0.487,-1.139,0.256,0.419,-0.343
-3.022,-16.44,-7.855,0.0,-0.818,2.796,-0.562,0.421,-0.791,0.27,0.133,-0.516
-2.15,-17.691,-8.682,0.194,-0.286,4.201,0.282,-0.143,0.0,0.451,0.0,-0.885
-2.385,-19.298,-7.19,-0.411,-0.55,4.357,1.411,-0.562,-0.479,0.81,0.305,-1.447
0.956,-19.298,-8.345,0.996,-2.285,4.357,2.579,-4.547,-1.758,1.287,0.571,-1.803
1.378,-10.314,-10.416,0.358,-2.006,3.717,-1.454,-4.525,-3.34,1.158,2.19,-2.14
1.791,-6.23,-9.238,-0.262,-0.87,2.386,6.36,1.477,0.569,0.912,-0.232,-1.965
1.015,-3.589,-8.781,-0.583,-1.265,0.0,-1.801,6.49,4.048,-0.425,1.248,0.69
0.713,-4.186,-8.341,-1.298,0.0,-1.292,1.05,5.87,1.412,-1.342,-2.107,2.236
-0.57,-8.775,-6.916,-1.285,1.388,-2.402,4.985,1.137,2.008,-2.202,0.127,3.281
-2.886,-13.983,-7.452,-0.483,1.522,-4.373,6.346,-3.493,2.43,-2.875,2.372,2.988
-5.297,-15.453,-8.653,0.0,1.301,-4.373,-0.743,-4.669,9.281,-0.547,2.655,1.485
-2.546,-9.08,-8.001,0.0,-0.248,0.0,-0.191,0.298,-0.407,0.0,0.0,0.122
