accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1,accX2,accY2,accZ2,gyroX2,gyroY2,gyroZ2
-1.274,-9.361,-9.022,0.0,0.134,0.0,0.532,-9.394,-12.274,0.0,0.0,0.0
-0.945,-9.427,-8.726,0.0,0.0,0.0,0.395,-9.401,-12.228,0.0,0.0,0.0
-0.781,-9.716,-9.358,0.0,-0.239,0.0,0.602,-9.503,-12.467,0.219,0.372,0.0
-1.637,-9.225,-9.453,-0.203,0.0,0.0,-0.854,-9.959,-12.962,0.713,0.0,-0.693
-2.72,-8.313,-8.294,-0.127,-0.267,0.376,3.286,-17.971,-14.38,1.617,0.424,-1.831
-1.548,-9.705,-9.639,0.131,0.494,0.214,-3.027,-11.266,-12.564,2.004,-0.161,-1.714
-2.202,-9.95,-9.929,-0.216,0.569,0.254,-5.611,1.197,-12.198,-0.466,-0.697,0.954
-1.463,-7.823,-7.456,-0.463,0.823,-0.128,-2.103,-2.25,-10.841,-1.841,-0.709,2.925
-1.51,-8.413,-6.514,0.409,-1.113,-0.61,3.715,-15.284,-10.763,-2.75,-1.012,3.963
-6.46,-17.315,-4.039,2.274,2.235,0.628,-3.637,-10.274,-12.886,0.931,3.141,0.32
-20.381,-19.298,-16.289,-4.294,4.375,4.357,-6.011,-6.035,-13.799,0.266,0.835,0.205
-18.191,-19.298,-10.747,-4.294,1.922,4.357,-1.38,-9.346,-11.262,-0.338,0.787,0.321
-13.735,-19.298,-19.725,-1.564,-4.355,4.357,-1.843,-9.633,-13.052,-0.131,1.136,0.526
13.879,-19.298,-29.727,4.436,-4.355,4.357,-2.155,-9.646,-13.864,0.182,0.665,0.0
18.844,-19.298,-20.8,1.575,-4.355,4.357,-2.329,-9.08,-12.452,0.24,0.167,-0.284
18.118,-19.298,-9.696,-1.927,-3.942,-4.373,-2.121,-9.4,-12.978,0.235,-0.284,-0.161
-12.783,-19.298,-30.895,-1.49,-2.514,-4.373,-1.802,-9.263,-12.844,0.399,-0.641,-0.372
-20.381,-19.298,-30.895,-4.294,-4.355,-4.373,-1.156,-9.068,-11.757,0.229,-0.837,-0.495
-8.406,-19.298,-23.045,-4.294,-4.355,4.357,-1.339,-9.722,-11.313,0.0,0.0,-0.324
0.0,-9.312,-10.104,0.0,-0.605,0.0,0.341,-9.399,-12.232,0.0,0.0,0.0
0.78,-9.2,-9.525,0.0,0.0,0.0,0.384,-9.467,-11.917,0.0,0.0,0.0
0.263,-9.45,-8.955,0.0,-0.101,0.0,0.346,-9.451,-12.134,0.0,0.0,0.0
0.0,-9.455,-9.338,0.0,0.0,0.0,0.542,-9.405,-11.972,0.0,0.0,0.0
0.0,-9.453,-9.4,0.0,0.0,0.0,0.532,-9.425,-12.063,0.0,0.0,0.0
0.0,-9.317,-9.035,0.0,0.0,0.0,0.524,-9.42,-11.936,0.0,0.0,0.0
0.312,-9.621,-9.126,0.109,-0.216,0.0,0.568,-9.412,-11.963,0.0,0.0,0.0
0.32,-9.614,-9.558,0.0,0.0,0.0,0.341,-9.523,-11.706,0.179,0.0,0.0
-1.084,-9.275,-9.371,0.0,0.0,-0.111,0.0,-10.295,-13.003,0.678,0.0,-0.624
-1.689,-9.474,-8.257,0.0,0.11,0.347,2.304,-19.369,-14.413,1.978,-0.379,-2.189
-0.343,-9.644,-8.813,0.335,0.44,0.678,3.998,-3.394,-11.625,1.092,-0.432,-1.67
-0.544,-9.142,-8.737,-0.119,0.409,0.54,-4.182,1.84,-13.943,-2.1,0.129,2.301
-1.469,-6.551,-8.606,0.0,-0.684,-0.258,-2.103,-11.346,-7.345,-2.816,-0.816,4.181
-2.008,-8.097,-8.822,0.219,-0.287,-0.28,18.797,-17.231,-13.064,-0.762,-2.603,1.707
-13.905,-16.611,-5.611,0.137,1.733,0.475,-12.762,-10.955,-7.082,-0.408,-1.831,-1.298
-20.381,-19.298,-9.625,-4.294,4.375,4.357,-3.661,-7.185,-12.377,0.0,1.721,0.373
-12.038,-19.298,-13.269,-3.911,-1.25,4.357,-1.867,-8.89,-13.517,0.0,0.761,0.269
-0.553,-19.298,-19.85,1.257,-4.355,4.357,-2.803,-9.147,-13.432,0.204,0.646,0.0
16.009,-19.298,-30.895,4.436,-4.355,4.357,-2.276,-9.275,-13.12,0.299,0.255,-0.319
18.844,-19.298,-30.895,2.474,-4.355,-0.923,-1.987,-9.054,-12.675,0.258,-0.141,-0.389
3.523,-19.298,-26.508,-0.66,-2.512,-4.373,-1.894,-9.308,-12.831,0.435,-0.354,-0.409
-13.442,-19.298,-30.895,-4.294,-3.7,-4.373,-1.42,-9.403,-12.017,0.401,-1.032,-0.511
-20.381,-19.298,-30.895,-4.294,-4.355,0.946,-0.791,-8.678,-11.967,0.106,-0.798,-0.485
15.06,-19.298,1.664,-4.294,-4.355,4.357,-0.441,-9.612,-12.862,0.0,0.0,-0.372
18.844,-19.298,7.091,-1.674,-2.083,2.626,0.0,-9.117,-12.327,0.0,0.0,-0.261
0.553,-9.432,-8.863,0.0,-0.229,0.0,0.0,-9.524,-11.583,-0.474,0.516,0.0
0.236,-9.398,-8.775,0.0,0.0,0.0,0.468,-9.394,-12.289,0.0,0.0,0.0
0.193,-9.243,-8.642,0.0,-0.131,0.0,0.426,-9.396,-12.313,0.0,0.0,0.0
0.202,-9.341,-8.718,0.0,0.0,0.0,0.653,-9.334,-12.258,0.0,0.0,0.0
0.0,-9.401,-8.545,0.0,0.0,0.0,0.629,-9.358,-12.303,0.0,0.0,0.0
0.0,-9.339,-8.529,0.0,-0.25,0.0,0.463,-9.4,-12.254,0.0,0.0,0.0
-0.258,-9.614,-8.33,0.118,-0.348,-0.109,0.62,-9.328,-12.262,0.0,0.0,0.0
-0.68,-9.538,-7.999,0.173,-0.5,0.0,0.208,-9.697,-12.165,0.209,0.0,-0.107
-0.237,-9.506,-7.856,0.326,-0.488,0.281,-1.571,-11.643,-13.238,1.203,-0.123,-1.053
0.336,-7.879,-8.186,0.342,-0.6,0.248,-4.785,-18.947,-19.502,2.43,-0.918,-2.135
-0.176,-8.364,-8.928,0.131,-0.409,0.0,-3.915,-1.608,-13.187,0.753,-0.387,-0.245
-1.638,-7.271,-8.113,0.0,0.0,-0.198,-2.178,-0.308,-12.79,-1.749,-0.744,2.258
-3.076,-8.551,-8.268,-0.246,0.98,0.0,2.572,-8.848,-7.166,-2.746,-1.004,3.681
-11.543,-15.216,-6.253,-0.804,4.346,1.61,18.797,-19.369,-30.393,-2.127,-4.351,0.1
-20.381,-19.298,-14.6,-4.294,4.375,4.357,-1.106,-11.046,-13.846,0.246,-1.742,-0.987
-16.272,-19.298,-16.417,-4.294,-3.739,4.357,-4.522,-9.455,-11.647,-0.397,0.374,0.536
-1.767,-19.298,-19.538,0.489,-4.355,4.357,-3.059,-8.811,-14.498,-0.129,0.8,0.542
18.844,-19.298,-27.782,4.076,-3.79,4.357,-2.875,-8.717,-14.663,0.218,0.603,0.0
18.844,-19.298,-30.131,-1.521,-4.355,-4.373,-2.878,-8.856,-13.682,0.327,0.221,-0.417
2.632,-19.298,-30.895,0.0,0.856,-4.373,-1.739,-8.616,-13.749,0.347,-0.125,-0.526
-17.821,-19.298,-30.895,-4.294,0.617,-4.373,-2.481,-9.056,-13.358,0.474,-0.604,-0.597
-20.381,-19.298,-30.895,-4.294,-4.355,1.671,-0.736,-8.947,-12.353,0.328,-0.631,-0.521
18.844,-19.298,-1.251,-4.294,-4.355,4.357,-0.6,-9.2,-11.803,-0.174,-0.134,-0.183
18.844,-19.298,-0.294,-0.896,0.883,-3.001,-0.754,-9.328,-13.78,0.0,-0.407,-0.207
16.372,-19.298,-16.495,-0.523,4.263,-4.373,-0.361,-9.245,-12.738,0.0,-0.109,0.0
-0.626,-9.589,-8.663,-0.141,0.61,0.0,0.182,-9.493,-11.78,0.0,0.0,0.0
-0.863,-9.319,-8.762,0.0,0.495,0.0,0.25,-9.474,-11.805,0.0,0.0,0.0
-1.029,-9.476,-8.733,0.0,0.0,0.0,0.288,-9.468,-11.832,0.0,0.0,0.0
-0.62,-9.329,-8.821,0.0,-0.174,0.0,0.241,-9.48,-11.809,0.0,0.0,0.0
-0.51,-9.397,-8.946,0.0,-0.146,0.0,0.237,-9.48,-11.809,0.0,0.0,0.0
-0.472,-9.369,-9.028,0.0,0.0,0.0,0.292,-9.531,-11.757,0.0,0.0,0.0
-1.009,-9.561,-9.195,0.0,0.0,0.0,0.298,-9.559,-11.696,0.0,0.108,0.0
-1.669,-9.791,-8.795,0.0,0.554,0.0,0.166,-9.701,-11.851,0.143,0.0,0.0
-2.276,-8.795,-8.645,-0.156,0.0,0.593,-0.964,-11.211,-13.366,0.811,0.268,-0.787
-0.996,-8.89,-9.029,0.17,0.3,0.6,-2.956,-19.369,-20.576,2.569,0.787,-2.248
-0.899,-8.092,-8.98,-0.245,0.609,0.0,-0.406,-0.135,-13.416,0.212,-0.828,-0.835
