accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1,accX2,accY2,accZ2,gyroX2,gyroY2,gyroZ2
-1.442,-9.943,-7.06,0.139,-0.678,0.158,2.409,-7.215,-10.912,0.193,-0.243,0.0
-15.912,-17.943,6.589,3.996,-4.355,3.431,-1.13,-9.487,-10.399,0.0,0.23,0.0
16.791,-14.775,-7.505,2.651,-3.363,1.738,-2.845,-10.128,-9.987,0.0,0.0,0.0
-3.278,-11.174,-6.205,4.436,-1.535,-2.165,-1.159,-9.361,-9.717,0.0,-0.265,-0.152
-7.046,-6.661,-7.349,1.071,-1.03,-0.405,-0.541,-9.424,-10.509,0.0,0.0,0.0
-1.594,-2.851,-9.916,2.362,0.149,0.139,-1.772,-9.774,-10.077,0.0,0.102,0.0
-0.224,-2.393,-3.525,0.225,0.0,0.269,-1.285,-9.717,-10.174,0.0,0.0,0.0
1.948,-1.559,-1.2,0.0,0.0,0.406,0.678,-8.349,-10.3,0.0,0.0,-0.19
0.655,-0.466,-0.108,0.0,0.316,0.417,1.94,-6.636,-9.531,-0.197,0.0,-0.432
-3.669,0.545,7.112,1.457,1.541,1.22,-4.96,-11.869,-4.845,-0.775,0.27,0.512
-11.482,1.573,8.33,4.436,3.924,1.934,-2.993,-6.724,-15.526,0.0,-1.281,-0.541
-7.75,2.282,8.33,4.436,4.139,3.801,-0.483,-9.211,-10.284,0.146,0.0,-0.163
9.421,-0.827,-11.078,4.436,1.878,4.357,0.48,-10.155,-11.625,0.0,0.0,0.0
13.727,-3.442,-20.914,-4.294,-2.663,0.0,-0.606,-9.727,-9.705,0.0,0.0,0.0
-12.129,13.269,3.884,1.13,1.045,-4.373,-0.266,-9.468,-10.849,0.0,0.305,0.194
9.609,4.11,-19.065,0.21,-1.852,3.076,-1.231,-9.788,-10.676,0.0,0.137,0.142
1.268,7.699,-5.924,1.215,0.0,-0.832,-0.79,-9.534,-10.779,0.0,0.0,0.0
0.299,6.916,-5.062,-0.659,0.516,-0.151,-0.933,-9.674,-10.616,0.0,0.0,0.0
-1.579,0.214,-10.3,-2.723,2.265,-0.904,-1.153,-9.595,-10.766,0.0,0.0,0.0
-0.504,-3.53,-8.766,-3.533,1.477,-0.351,-1.131,-9.62,-10.786,0.0,0.0,0.0
0.0,-9.475,-9.556,0.0,0.0,0.0,-1.17,-9.63,-10.806,0.0,0.0,0.0
0.245,-9.407,-9.349,0.0,0.0,0.0,-1.138,-9.698,-10.718,0.129,0.0,0.0
0.469,-9.312,-9.657,0.0,0.0,0.0,-0.702,-12.31,-9.219,0.0,0.451,0.241
0.0,-9.389,-9.516,0.0,0.183,0.0,-5.188,-11.204,-11.358,0.117,0.0,0.342
-7.267,-11.061,-0.83,-0.608,-0.301,0.595,1.606,-6.371,-11.289,0.221,-0.695,0.0
-1.263,-19.298,-8.375,4.436,-4.355,3.718,1.913,-7.945,-10.045,0.0,0.575,0.0
3.94,-10.71,-3.146,4.436,-2.173,0.617,-2.756,-10.161,-10.056,0.0,0.102,0.0
-3.521,-4.369,-9.126,2.335,-1.593,-0.634,-1.728,-9.822,-10.503,0.0,0.0,0.0
-1.286,-5.631,-2.659,1.234,-0.473,-1.124,-0.124,-9.297,-10.546,0.0,0.0,0.0
-3.022,-2.452,-3.144,0.855,0.626,-1.232,-1.305,-9.625,-10.246,0.0,0.303,0.0
-1.227,0.0,-2.371,0.153,0.276,0.0,-1.821,-9.836,-10.466,0.0,0.0,0.0
0.0,1.114,-1.061,0.0,-0.118,0.542,-1.173,-9.524,-10.178,0.0,0.0,0.0
-5.634,1.665,6.259,1.658,1.767,0.0,-0.964,-9.481,-10.578,0.0,0.0,0.0
-15.92,1.837,8.33,4.027,4.375,1.179,-1.89,-9.577,-9.735,0.0,-0.2,0.0
-7.938,5.704,4.822,3.318,3.859,3.086,-0.393,-8.205,-9.51,0.0,-0.85,-0.199
