accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1
-2.329,-10.343,-14.933,-0.687,3.872,-0.282
-5.465,-11.315,-15.717,0.212,2.344,0.282
-10.087,-13.328,-18.754,-1.066,1.448,0.524
-11.118,-19.568,-24.302,-3.362,2.923,-1.464
-17.78,-19.568,-15.547,-4.289,3.857,-2.433
-18.19,-19.568,-12.892,-3.576,4.376,-4.373
-12.074,-16.166,-12.962,-2.863,2.105,-4.373
-3.153,-19.568,-14.612,-3.239,-1.74,-4.373
-0.908,-19.568,1.532,-4.289,-4.354,-4.373
9.266,-19.568,8.186,-4.289,-4.354,4.357
5.398,-13.603,-10.865,4.441,4.376,-2.062
6.543,-19.568,-14.082,4.441,4.376,-2.619
6.816,-19.568,-18.633,4.441,4.376,-0.303
4.899,-19.568,-22.27,4.441,4.376,1.555
0.706,-13.391,-20.309,0.383,2.672,1.763
0.458,-12.199,-19.026,-0.672,3.967,0.841
-1.575,-13.357,-24.506,-2.109,2.391,0.0
-5.438,-17.739,-25.383,-3.554,2.587,-0.788
-8.678,-19.568,-26.065,-4.289,4.376,-2.608
-14.601,-15.381,-24.937,-3.149,4.376,-4.373
-7.893,-4.997,-20.211,0.0,4.376,-2.855
11.277,-11.209,-27.305,3.609,1.607,-4.373
-0.771,-19.568,-14.671,-2.154,-4.354,-4.373
-12.873,-19.568,8.186,-4.289,-4.354,-4.373
-16.711,-10.531,4.325,-4.289,0.785,0.975
6.842,-11.417,8.186,-2.687,0.981,-0.541
-7.559,-9.378,3.33,-1.402,1.107,0.845
-2.252,-9.725,-4.057,-1.853,0.98,1.327
-0.112,-5.697,-4.656,-2.009,-1.457,0.0
0.741,-6.581,-6.375,-1.419,0.94,-2.329
-4.852,-12.381,-3.816,-1.275,2.359,-3.68
-6.125,-13.924,-6.541,-0.816,2.289,-3.574
-6.186,-12.937,-8.241,-0.868,2.738,-2.498
-5.632,-11.508,-8.872,-1.139,3.184,-1.618
-4.81,-10.986,-8.553,-0.777,2.681,-0.243
-1.97,-9.339,-8.152,-0.125,0.0,0.0
-2.231,-11.142,-6.663,-0.369,-0.511,0.299
-0.74,-12.746,-5.722,0.707,1.632,1.521
0.43,-12.419,-7.623,1.988,3.434,1.768
2.553,-11.006,-8.741,2.309,4.109,1.725
2.203,-9.353,-8.163,2.117,4.038,0.576
1.302,-9.629,-8.887,2.604,4.376,0.352
2.278,-11.721,-9.184,3.727,4.376,3.529
4.172,-17.851,-9.81,4.441,4.376,4.357
12.941,-19.568,-26.411,4.441,4.376,4.357
6.291,-12.054,-26.718,0.0,0.815,1.495
1.885,-11.646,-20.782,-2.158,0.912,0.359
4.346,-11.172,-24.748,-2.547,1.131,-0.245
2.185,-15.018,-27.044,-3.763,0.478,-1.703
-4.132,-19.568,-29.169,-4.289,1.934,-2.392
-10.756,-18.942,-21.864,-4.289,3.341,-2.787
-5.36,-12.407,-19.655,-2.272,3.469,-2.734
3.752,-14.612,-19.457,-0.802,0.0,-4.373
2.253,-19.568,-11.331,-4.289,-3.226,-4.373
6.302,-19.568,4.099,-4.289,-4.354,-4.373
-6.595,-19.568,-1.146,-4.289,-1.691,-0.87
5.863,-19.568,8.186,-3.655,-2.269,1.483
-0.105,-16.624,4.587,-1.425,0.434,0.718
0.103,-11.318,-5.515,0.0,0.552,1.072
0.609,-8.752,-7.533,0.602,0.673,0.203
-1.664,-9.492,-8.959,0.0,-0.259,0.0
-2.268,-9.637,-7.974,0.242,-0.159,0.0
-2.217,-9.584,-8.325,0.305,-0.197,0.0
-2.094,-9.539,-8.359,0.0,-0.313,0.0
-1.602,-9.606,-8.352,0.0,-0.47,0.0
-1.415,-9.942,-8.112,0.0,-0.636,0.0
-2.016,-10.584,-7.486,-0.464,-1.322,0.0
-1.49,-14.148,-6.458,-0.643,-3.168,1.152
3.662,-12.577,-6.964,1.942,0.974,1.855
7.646,-12.644,-11.258,4.441,4.094,1.334
7.889,-12.549,-15.585,4.099,4.376,-1.399
6.515,-12.743,-15.228,4.441,4.376,-1.754
8.641,-19.568,-16.8,4.441,4.376,-4.373
3.772,-19.568,-23.186,4.441,4.376,-3.258
-2.906,-14.319,-23.152,3.074,4.376,-0.633
-3.427,-14.506,-15.674,-1.756,1.445,0.0
-7.132,-10.335,-17.031,-0.466,3.782,1.095
-1.461,-16.877,-23.864,-1.54,1.662,2.208
-7.612,-19.568,-23.846,-4.289,1.748,0.653
-9.726,-19.568,-21.913,-4.289,3.857,-0.832
-17.418,-17.477,-22.442,-4.289,4.376,-3.016
-8.269,-7.459,-15.491,-2.959,4.376,-1.627
7.549,-10.839,-21.739,1.631,3.052,-3.363
0.344,-19.568,-23.915,-4.289,-2.776,-4.373
18.505,-19.568,-5.781,-4.289,-4.354,-4.373
-2.62,-9.595,-7.906,0.142,0.0,0.0
-2.436,-9.577,-7.464,0.0,-0.766,0.0
-1.041,-10.203,-7.196,-0.939,-1.246,-0.466
-0.639,-10.294,-7.227,-0.153,0.683,0.254
