accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1,accX2,accY2,accZ2,gyroX2,gyroY2,gyroZ2
-5.044,10.34,-11.303,0.395,0.791,1.531,-2.402,10.47,7.899,3.211,1.808,-1.5
-3.577,13.253,-10.864,-0.156,1.622,0.743,2.845,9.19,3.174,0.665,-0.411,1.163
-6.204,13.119,-6.574,0.0,1.168,-0.757,5.222,-1.035,0.799,-2.367,-1.017,2.007
-2.931,-2.089,-0.977,0.579,-2.674,0.0,8.767,-3.61,2.438,-1.093,3.05,1.435
-5.194,-18.16,7.641,-0.259,-1.669,-4.373,0.964,0.463,4.857,0.202,1.065,-1.322
-12.381,-1.391,-2.823,-0.439,-3.379,4.357,-2.235,3.767,3.523,0.0,-1.621,-0.511
4.101,0.377,-1.415,-1.186,0.409,-0.154,-0.924,4.764,1.716,-1.441,-1.978,1.735
-3.401,-2.442,-3.443,-1.676,0.507,0.627,0.21,-1.177,0.319,-3.06,-1.996,4.096
-0.88,-5.928,-3.944,-2.374,-0.25,1.616,10.233,-9.846,-0.306,-3.716,-3.24,4.378
1.172,-2.043,-6.786,-3.444,0.66,-0.33,13.088,-4.886,7.869,-1.604,-0.916,1.373
-2.907,-3.099,-4.032,-3.383,3.141,-2.956,-9.937,-9.846,10.169,0.446,1.824,-1.087
-12.758,-6.907,-1.302,-2.39,3.755,-3.937,5.14,2.725,-5.134,-0.116,0.0,0.0
-11.002,-10.266,-1.857,-0.9,1.992,-3.548,0.483,0.0,0.235,-0.316,-0.375,0.139
-8.593,-11.781,-2.061,-1.021,-0.319,-1.745,-0.848,-0.198,0.528,0.0,0.236,-0.112
-4.87,-11.82,-6.459,-0.389,1.54,-1.5,1.105,0.3,0.0,0.0,0.0,-0.121
-5.985,-11.657,-7.534,-0.791,2.741,-1.418,0.432,0.159,0.0,0.0,0.0,0.0
-0.995,-9.641,-8.673,0.347,-0.404,1.208,0.388,0.0,0.318,0.144,0.19,0.0
-9.478,-13.12,-5.763,0.564,1.533,1.849,0.786,0.0,0.224,0.244,0.331,-0.123
-11.987,-12.532,-5.538,1.144,0.827,3.725,1.177,-0.1,1.032,0.0,0.431,0.151
-12.772,-8.99,-5.731,1.111,0.0,4.204,-0.172,-1.61,2.808,-0.201,0.331,0.687
-7.882,-5.076,-7.987,1.613,-0.642,4.327,2.617,-1.881,8.008,0.0,0.0,1.213
-4.013,0.807,-10.652,1.816,-1.511,3.653,16.607,-5.545,8.868,1.597,0.791,-1.078
-1.316,6.674,-11.236,1.858,-1.005,2.881,5.207,-8.286,1.658,2.511,-1.199,-3.822
-2.312,11.185,-9.193,0.818,-0.584,0.632,1.981,-4.088,0.0,2.157,1.287,-3.226
-3.096,6.949,-4.208,0.618,-1.958,-0.185,3.293,-2.539,0.716,1.476,0.899,-2.94
0.341,-13.555,4.981,-3.245,-4.355,0.217,1.442,1.867,1.807,1.132,1.357,-2.202
-11.65,0.393,3.438,-0.16,2.17,-2.266,-0.935,4.254,3.274,0.556,1.897,-1.336
5.132,3.885,-6.705,0.139,-4.355,2.463,-1.925,6.452,4.36,0.0,0.466,-0.311
0.241,3.378,-0.466,-0.511,1.255,-0.894,-0.53,6.206,3.813,-0.611,-1.155,0.746
-0.496,4.406,-0.503,-0.709,-0.958,0.496,-0.365,2.537,1.537,-1.257,-2.033,2.182
0.595,2.579,-1.804,-0.196,0.557,0.0,1.823,-2.582,-1.97,-2.099,-1.297,3.508
-2.077,-2.292,-3.173,-0.605,1.647,1.019,8.082,-9.66,1.973,-2.661,-0.949,3.402
-1.361,-4.288,-4.387,-0.84,1.708,1.496,9.789,-6.199,5.745,-1.711,-0.236,1.686
-1.021,-1.93,-5.356,-2.444,2.44,0.682,8.607,-2.127,8.708,-0.912,-0.71,0.502
-5.684,-1.867,-4.432,-3.403,4.17,-1.218,7.002,0.491,5.445,-0.28,-1.441,-0.157
-10.869,-2.656,-2.796,-3.097,3.446,-2.694,1.87,1.323,1.946,-0.219,0.264,0.0
-12.457,-5.982,-0.954,-1.643,2.066,-2.627,-0.488,-2.345,2.422,0.0,0.159,-0.132
-10.866,-10.066,-1.649,-0.824,-0.506,-3.192,2.312,0.867,0.0,-0.221,-0.128,0.269
-6.423,-11.346,-7.509,0.419,-0.282,-2.336,0.156,-0.422,1.396,-0.343,0.0,0.443
-4.646,-11.734,-8.398,-0.315,2.605,-2.147,1.077,0.232,-1.043,-0.18,0.0,0.252
-3.85,-11.167,-7.601,-1.107,3.827,-1.4,0.311,0.13,0.0,0.0,0.0,0.0
-1.929,-9.351,-8.306,0.0,-0.255,0.0,0.518,0.0,0.0,0.0,0.19,0.0
-1.829,-9.199,-8.83,0.112,-0.307,0.0,0.325,0.185,-0.464,0.0,0.169,0.0
-2.161,-9.574,-8.315,0.0,-0.883,-0.287,0.617,0.0,0.0,0.118,0.0,0.0
-2.889,-10.036,-6.99,-0.21,-1.464,-0.404,0.789,0.0,0.0,0.113,0.133,0.0
-9.454,-11.621,-3.251,0.492,-2.175,0.284,0.556,-0.948,1.106,0.0,0.396,0.231
-9.8,-13.283,-2.537,0.909,-1.191,1.611,0.194,-0.49,5.215,0.0,0.0,0.915
-7.939,-13.597,-3.216,1.015,-1.155,2.545,12.993,-3.338,2.81,0.341,-1.807,0.161
-5.009,-14.016,-4.102,2.656,-1.436,2.815,6.376,-5.554,5.378,1.765,1.44,-1.817
-6.909,-12.447,-4.912,3.841,-0.918,2.819,4.512,-5.616,1.687,1.988,0.19,-2.819
-0.811,-8.741,-5.98,4.436,-0.878,2.385,3.12,-4.569,0.308,1.874,1.863,-2.401
3.766,-2.66,-9.716,2.954,-1.493,0.483,3.063,-2.128,0.881,1.763,1.8,-2.31
-0.299,-2.495,-6.716,0.871,-0.241,-1.435,0.441,0.507,1.64,1.581,1.551,-2.008
-5.707,2.664,-4.145,0.32,-1.022,-0.406,-0.651,3.783,2.384,1.185,0.631,-1.505
-0.644,3.056,-2.695,0.154,-1.049,0.852,0.435,5.846,2.93,0.5,0.347,-0.841
-1.537,3.728,-2.075,-0.438,-0.391,-0.163,-1.018,6.585,4.144,-0.335,-0.264,0.0
-2.769,2.695,-0.61,-0.321,-0.511,0.195,-1.113,4.861,1.931,-1.577,-1.801,1.646
-3.678,-0.582,-3.672,-0.888,0.0,1.092,0.865,-0.611,-0.437,-2.384,-1.505,3.472
-1.154,-5.516,-6.03,-1.726,-0.223,2.66,5.361,-9.846,-0.226,-3.214,-3.033,3.854
1.287,-5.12,-7.282,-3.484,0.103,1.758,13.165,-9.46,2.489,-2.04,-1.244,2.298
1.488,-5.748,-6.131,-4.294,2.068,0.128,8.757,-2.44,8.015,-0.588,-0.897,0.116
-5.062,-9.977,-4.372,-3.358,4.375,-1.41,2.68,2.719,2.979,-0.407,-1.194,0.0
-10.534,-12.116,-2.197,-1.077,3.42,-2.307,-3.523,-1.034,2.662,0.22,1.18,0.0
-10.769,-14.528,-3.183,0.493,2.099,-2.827,1.827,0.925,-1.446,-0.228,0.357,0.319
-5.888,-12.858,-7.359,0.152,2.91,-2.542,0.311,0.0,0.577,-0.315,-0.203,0.26
-8.734,-11.289,-9.443,0.0,4.133,-1.647,0.438,0.0,-0.128,-0.217,0.0,0.208
-2.039,-9.199,-8.968,0.0,0.0,0.0,0.52,0.173,-0.285,0.0,0.0,0.0
-1.938,-9.278,-8.928,0.0,0.0,0.0,0.507,0.171,-0.291,0.0,0.0,0.0
-1.98,-9.262,-8.942,0.0,0.0,0.0,0.532,0.173,-0.242,0.0,0.0,0.0
-2.076,-9.287,-8.971,0.0,0.0,0.0,0.552,0.172,-0.25,0.0,0.0,0.0
-2.058,-9.334,-8.835,0.0,0.0,0.0,0.546,0.144,-0.148,0.0,0.0,0.0
-1.832,-9.406,-8.837,0.0,-0.148,0.0,0.582,0.153,-0.16,0.0,0.0,0.0
-1.742,-9.337,-8.831,0.0,-0.241,0.0,0.659,0.199,-0.104,0.0,0.0,0.0
-1.662,-9.133,-8.876,0.0,-0.366,0.0,0.661,0.0,0.0,0.0,0.0,0.0
-1.651,-9.278,-8.853,0.0,-0.481,-0.148,0.52,0.0,0.0,0.125,0.22,0.0
-4.234,-9.572,-7.948,0.0,-0.852,0.0,0.763,0.0,0.0,0.155,0.305,0.0
-8.667,-12.007,-2.456,-0.352,-2.346,0.18,1.015,-0.483,0.501,0.0,0.421,0.164
-12.019,-15.494,0.25,1.647,-2.406,0.396,-0.194,-1.867,4.354,0.0,1.081,0.734
-8.678,-17.548,-2.059,3.427,-1.13,2.608,1.657,-1.046,3.468,0.0,-0.773,1.274
-4.359,-12.346,-5.517,3.519,-1.358,2.483,15.06,-3.705,5.47,0.888,1.755,0.0
-1.231,-10.944,-5.342,4.018,-0.65,2.141,5.127,-7.076,3.683,2.085,-0.283,-2.646
0.0,-7.576,-5.798,3.601,-0.139,1.589,2.552,-6.233,1.342,2.093,0.254,-3.079
0.35,-2.725,-8.787,2.771,0.62,0.781,3.415,-5.202,2.015,2.175,1.21,-3.108
-0.564,0.565,-7.415,0.861,0.0,0.773,1.65,-2.015,2.61,2.393,1.261,-3.149
0.124,3.198,-5.034,-0.117,-0.354,0.526,-0.525,3.349,3.362,1.861,1.123,-2.118
-1.59,3.354,-2.334,-0.329,-0.257,0.0,-0.359,6.95,2.179,1.016,0.0,-0.886
-1.281,3.558,-2.772,-0.199,-0.602,0.0,-0.567,6.9,2.434,0.27,-1.043,0.237
-1.549,2.903,-1.405,-0.968,-0.349,-0.216,-0.947,5.695,0.563,-0.833,-1.528,1.566
-1.158,0.207,-2.968,-0.879,0.479,0.996,0.0,1.258,-1.719,-1.887,-0.869,3.471
-2.471,-4.043,-4.169,-1.613,-0.295,1.39,1.22,-8.68,-0.54,-3.383,-0.419,4.378
-2.202,-5.674,-4.56,-3.248,0.409,1.238,10.206,-9.846,3.244,-3.224,-1.591,3.825
-2.19,-5.562,-5.313,-3.911,3.403,0.301,0.949,0.198,-0.167,0.0,0.0,0.0
-6.989,-6.887,-4.843,-3.463,3.989,-1.306,0.91,0.196,-0.164,0.0,0.0,0.0
-2.124,-9.36,-9.548,-0.166,0.116,0.0,0.879,0.22,-0.199,0.0,0.0,0.0
-2.033,-9.652,-8.359,0.0,0.0,0.0,0.907,0.184,-0.171,0.0,0.0,0.0
-2.042,-9.24,-9.376,0.217,-0.554,0.116,0.883,0.169,0.0,0.0,0.0,0.0
-1.431,-9.286,-9.498,0.0,-0.261,0.0,1.152,0.14,-0.267,0.0,0.248,0.0
-1.419,-9.333,-8.817,0.0,0.0,0.0,0.702,0.0,0.0,0.0,0.256,0.0
-2.082,-10.011,-8.906,0.328,-0.262,-0.115,0.746,0.0,0.219,0.167,0.153,0.0
-4.459,-9.159,-6.628,0.445,-1.042,-0.228,0.959,0.0,0.158,0.216,0.0,-0.181
-7.449,-11.056,-4.938,0.149,-3.814,0.171,1.348,-0.114,0.731,0.168,0.228,-0.103
-10.654,-17.132,8.33,2.046,-2.136,2.291,1.252,-0.341,3.037,-0.129,0.0,0.487
-6.715,-16.786,-0.856,4.436,-2.064,2.202,3.98,-0.146,2.744,-0.315,-0.394,1.688
0.135,-10.801,-5.811,4.436,-1.136,1.341,18.131,-5.825,7.986,1.233,2.383,-1.016
-0.128,-6.786,-4.296,2.972,-2.292,0.268,5.711,-9.177,1.915,2.247,0.716,-3.231
0.605,-6.664,-4.124,2.933,-0.193,-0.975,3.823,-7.108,1.51,2.408,1.232,-3.271
-1.844,-0.99,-6.914,2.208,1.13,-0.375,2.781,-4.392,1.527,2.496,0.648,-3.716
-0.94,2.268,-6.462,0.812,0.46,0.179,1.878,-2.607,0.805,2.391,0.883,-3.733
0.596,2.074,-5.542,0.655,0.419,0.258,-2.796,5.271,0.826,1.936,0.329,-2.28
0.0,4.309,-3.993,0.0,-0.721,0.219,-1.757,8.924,0.418,0.506,0.0,-0.51
0.126,4.165,-2.597,-0.371,-0.896,0.0,-2.242,8.658,0.373,-1.34,0.167,1.355
0.406,3.398,-3.228,-0.337,-0.109,-0.18,-2.296,2.382,-0.704,-3.238,-0.571,3.749
-1.583,1.621,-2.934,-1.292,-0.184,0.0,0.47,-9.846,-1.689,-4.309,-0.994,4.378
-1.092,-2.619,-3.63,-1.153,0.499,1.276,13.031,-9.846,3.365,-3.826,-1.781,4.378
-2.218,-4.67,-6.195,-1.995,1.183,1.32,15.192,-6.821,14.518,-0.94,-1.97,0.563
-0.465,-6.717,-5.187,-3.017,2.721,0.422,4.702,1.204,-1.713,0.395,0.501,-0.845
-3.957,-8.078,-3.678,-4.116,3.921,-1.845,0.539,-0.3,2.187,-0.111,0.236,0.108
-9.532,-9.759,-4.048,-3.149,3.666,-3.709,1.328,0.468,0.0,-0.202,0.235,0.212
-11.005,-14.415,-4.765,-1.56,2.877,-4.373,0.59,0.124,-0.249,0.0,0.0,0.0
-7.613,-16.447,-6.672,-0.717,0.686,-3.241,0.724,0.221,-0.139,0.0,0.0,0.0
-2.123,-8.815,-8.402,-0.201,-0.147,-0.152,0.561,0.0,0.0,0.0,0.0,0.0
-1.619,-9.656,-8.574,0.139,0.106,-0.137,0.714,0.21,0.0,0.0,0.0,0.0
-2.294,-9.096,-9.005,0.0,0.172,-0.123,0.882,0.248,0.136,0.0,0.0,0.0
-1.893,-9.443,-8.731,0.0,-0.282,0.0,1.089,0.0,0.0,0.0,0.283,0.0
-4.451,-10.165,-8.156,0.125,-0.122,-0.39,0.218,-0.165,0.308,0.137,0.242,0.0
-20.381,-13.066,-4.053,-0.807,-1.824,0.386,0.582,-0.304,0.859,0.149,0.316,-0.177
-10.812,-18.283,-1.262,1.421,-2.584,3.403,2.003,-0.7,2.134,-0.158,0.342,0.325
-8.654,-15.984,-2.253,3.594,-3.326,3.001,-0.144,-0.241,8.145,-0.277,0.613,2.113
-4.614,-11.505,-4.207,3.927,-2.063,2.039,18.907,-8.183,9.478,1.993,2.102,-1.423
-0.402,-12.608,-8.45,4.436,-1.18,1.148,2.629,-9.846,2.573,3.237,1.231,-3.329
0.358,-4.64,-9.011,2.5,-0.448,0.504,0.586,-6.799,-0.352,2.749,0.107,-3.278
-1.861,-0.378,-8.463,1.208,0.798,0.427,0.737,-2.371,-1.162,2.41,1.245,-2.766
1.363,2.459,-7.061,0.331,0.161,0.526,-2.91,1.384,-2.137,1.738,1.59,-2.326
-0.632,2.779,-3.285,0.0,-0.588,0.192,-2.898,5.55,0.358,0.89,0.333,-1.067
-0.963,3.07,-3.833,-0.431,-0.408,0.0,-1.569,6.481,0.0,-0.216,-1.457,0.101
-0.577,1.403,-4.178,-0.902,0.0,-0.157,-2.371,5.062,-1.502,-1.619,-0.7,2.77
-2.592,-3.311,-6.389,-1.769,0.559,0.38,-1.054,-6.132,-2.933,-4.099,-0.849,4.378
-1.231,-7.722,-5.694,-2.556,1.397,1.076,11.441,-9.846,0.473,-4.309,-1.815,4.378
-2.618,-7.393,-6.669,-3.766,1.433,-0.549,14.015,-8.231,12.557,-1.707,-1.136,1.062
-5.622,-10.836,-3.963,-4.001,3.559,-2.753,10.05,-3.326,8.04,0.0,-2.199,-0.953
-11.909,-13.132,-1.765,-3.048,1.781,-3.76,0.397,1.576,1.959,0.0,-0.105,-0.373
-2.198,-9.325,-8.903,0.0,-0.989,0.134,0.593,0.201,-0.341,0.0,0.0,0.0
-1.45,-9.255,-8.968,0.0,-0.398,0.161,0.621,0.184,-0.273,0.0,0.0,0.0
-1.722,-9.187,-9.025,0.0,-0.112,0.0,0.572,0.229,-0.201,0.0,0.0,0.0
-1.777,-9.239,-8.645,0.0,-0.199,0.0,0.513,0.199,-0.2,0.0,0.0,0.0
-1.516,-9.426,-8.736,0.0,-0.188,0.0,0.567,0.166,-0.16,0.0,0.0,0.0
-1.567,-9.348,-8.677,0.0,-0.194,0.0,0.647,0.148,0.0,0.0,0.0,0.0
-1.541,-9.292,-8.36,0.0,-0.234,-0.174,0.509,0.0,0.0,0.0,0.113,0.0
-5.301,-10.254,-4.792,0.334,-0.386,0.121,0.526,0.0,0.106,0.146,0.219,0.0
-10.917,-14.757,2.805,1.439,1.0,2.324,1.241,0.178,0.362,0.103,0.334,0.0
-15.366,-14.109,3.304,2.854,-0.995,3.337,0.72,-0.677,1.397,-0.109,0.683,0.376
-10.404,-13.704,-3.697,4.383,0.0,3.772,0.321,-0.227,5.245,-0.235,0.222,1.311
-5.159,-12.093,-6.728,3.786,0.267,3.58,18.907,-5.238,5.347,0.381,-0.924,0.0
-0.957,-6.183,-8.193,1.982,-1.351,2.245,8.501,-7.829,4.214,1.952,1.869,-2.011
2.358,-2.261,-7.486,0.971,-1.445,0.192,4.044,-9.248,1.273,2.442,1.156,-2.886
-1.947,0.93,-7.367,0.549,0.402,0.0,0.916,-5.788,0.221,2.587,0.945,-2.818
