accX1_median,accX1_iqr,accX1_var,accX1_skew,accX1_kurtosis,accX1_rms,accY1_median,accY1_iqr,accY1_var,accY1_skew,accY1_kurtosis,accY1_rms,accZ1_median,accZ1_iqr,accZ1_var,accZ1_skew,accZ1_kurtosis,accZ1_rms,gyroX1_median,gyroX1_iqr,gyroX1_var,gyroX1_skew,gyroX1_kurtosis,gyroX1_rms,gyroY1_median,gyroY1_iqr,gyroY1_var,gyroY1_skew,gyroY1_kurtosis,gyroY1_rms,gyroZ1_median,gyroZ1_iqr,gyroZ1_var,gyroZ1_skew,gyroZ1_kurtosis,gyroZ1_rms,class
-0.115,2.384,36.08221454333334,-0.6962346693107165,2.3792141643492,6.018161772501633,-8.69,7.087,45.2416135,0.8393773639341926,-0.6353052175707976,8.39971505230981,-7.412,7.559,45.719232026666674,0.26542604260737895,0.27844404972413805,8.501098178470826,0.0,1.51,4.832360823333334,0.03003970086501197,-0.06010285620647915,2.3094491291214885,0.0,0.806,2.997767406666666,0.4246119619517797,1.3067260517921007,1.6972636801628673,0.0,0.44300000000000006,3.296905093333334,0.8831902406125294,0.5353484713725374,1.8199136792716297,3
-1.711,6.588,33.77631790666667,-0.8416963022049425,0.3915282388145296,6.489859449941886,-7.294,5.981999999999999,34.29518674,-0.4712282907675064,-0.17862038015705028,9.473883697829525,-7.041,7.572000000000001,35.090850839999995,0.8598149135268766,-0.3713953723448711,7.300034545123743,0.0,2.212,6.111396223333333,0.17490141952849492,-0.3221309799787955,2.4374190119878856,0.168,1.851,4.392556193333333,-0.03357768417028917,0.03217196522600263,2.0671154007456862,0.0,2.501,6.756908306666667,-0.24305012771457957,-0.544188885084794,2.5734558321447834,3
-0.145,3.639,23.84982784333333,-0.32327320079203653,0.2972099455087749,4.849983364919925,-6.716,7.669999999999999,49.14857527666667,0.7277468113374839,-0.8408537001471332,8.467221801748199,-6.311,7.058999999999999,38.538384583333325,0.9333160134093929,0.09477447972776121,7.776426701255533,0.1,2.732,4.466836006666667,0.05474247224838174,-0.5478392669424323,2.3530479638120427,0.0,0.731,3.11513471,-0.5132191608051107,0.9055793849914848,1.7312444887998921,0.0,1.181,2.847143506666667,1.1213082820118405,0.7442227645806003,1.7602856245507434,3
-1.501,1.9100000000000001,17.42326984,-1.4199815663284783,2.2501514878882913,4.580392756085443,-5.8,6.299000000000001,32.84321887333335,0.6391880409583461,-0.6036285224781062,7.505297577045162,-4.162,7.526000000000001,33.36872867333333,0.4377431880660571,-0.3730839548224738,7.0799527795035475,0.0,2.77,3.7604399999999996,0.3371154229838186,-0.45139010405193325,2.1053048805339336,0.0,0.756,2.5578682566666666,-0.7240514805166748,1.0806743448646587,1.5725334845401544,0.0,1.226,1.9641669600000002,1.4668621549567489,1.0127611559232097,1.598493803553833,3
-1.374,3.702,17.996524333333333,-0.9433327677695055,1.7667921558902364,4.497957798823817,-9.317,7.987,38.30399119333333,0.871906389668666,-0.3709008860661851,8.141238188383877,-7.172,8.399000000000001,32.877402339999996,0.9526832192360337,-0.36110868849898736,7.272150067208459,0.0,2.077,3.426970956666667,0.05422349663666146,0.06466053208664624,2.059744207419941,0.128,1.252,2.8202708333333333,-0.026771767918562502,1.311820526151676,1.6456846477985994,0.0,0.85,2.5409384233333334,1.116317762030412,0.4003864578460159,1.7220813221215776,3
-0.877,1.953,30.38712975,-0.11512120115395014,1.9293006626286333,5.587125611618196,-5.465,6.877999999999999,39.71853219,0.4066706654801475,-0.16780681643234718,8.257405544116143,-6.916,10.102,80.85119580666667,-0.551767722432674,1.1099019906051923,9.939521083030108,0.0,1.872,5.39067456,0.19393701880496453,-0.5044856509635989,2.3758600716372165,0.0,1.309,3.2470073733333327,0.04576629338367989,0.40952790668938155,1.773509977417663,0.356,0.883,2.23043934,1.5271563885608193,1.34278318129315,1.680543019383913,3
-0.357,3.2929999999999997,28.23472847666667,-1.3184984027346738,3.3011771857326453,5.295262935870134,-6.625,6.253,33.39182380999999,0.7344328264937002,-0.04340305484093809,7.903660314057026,-6.001,8.937,44.779928190000014,0.3806067639170246,-0.14968868591657358,7.846743454452936,0.146,2.201,5.076207166666666,-0.09366517781765607,0.0605271805845331,2.344421301728851,0.0,1.408,3.9269752733333334,-0.03264898630149769,0.4080789570919281,1.9610337375986169,0.0,1.625,2.4155011233333332,1.2012781975399658,0.296492961013767,1.7032648414148637,3
-0.228,3.0,36.64963676,-0.8717573099382342,2.881722352027986,6.1796928888092815,-6.159,10.151,36.845636926666664,0.46918211099812,-0.9212189377766693,7.6518895888532015,-8.852,11.643,47.187230890000016,0.7283809728321581,-0.932025848570138,8.140543468344113,0.0,1.557,5.308463083333333,0.1646604581856117,-0.28711159055355395,2.379987184839448,0.0,0.411,4.039930756666667,0.1538440100998719,0.8612625305758779,1.9706121485467405,0.0,0.727,2.4349529999999997,1.483008972979331,1.0969233766577506,1.6583050744660948,3
-0.211,2.119,49.54811317666667,-0.37043625670886954,2.2400792402945973,6.973531360795619,-5.65,9.57,30.78565661,0.5158772887295838,-0.9925994875402209,7.262204276939612,-8.845,8.427999999999999,54.082532006666675,0.6109603975364615,-0.40414949922845667,9.041984377336647,0.0,2.342,6.095015416666667,-0.30976715036663144,-0.3248905613971984,2.4769975857880846,0.0,0.854,3.2877777400000006,0.5117437767599166,0.5317233406302044,1.7917555636860738,0.106,1.46,2.888357556666667,0.6199735389319623,0.5443748045411403,1.8486144324872074,3
-0.513,2.0740000000000003,38.14816317333333,-1.2960945550836331,3.6209078371056975,6.399580386244086,-9.345,6.497,29.389092259999998,0.18796595248437722,0.08751226732810524,8.262184575522385,-7.652,8.299000000000001,59.424396839999986,-0.09890780338005867,0.4275215852783676,9.29961397908537,0.335,2.002,4.302109573333333,-0.06642836217439159,0.4085266011127633,2.204143479903248,0.0,0.8230000000000001,2.34364189,-0.0957085001328967,1.041634124353969,1.511068059354045,0.256,1.398,3.017914923333333,0.6627714000557976,0.2696286581985028,1.8895290736053785,3
0.159,2.702,46.28470707333333,-0.46414745756529874,2.6409347475729055,6.813194140783015,-9.345,8.344999999999999,46.35276329333334,-0.05597285572508469,-0.6372282444743536,9.025610674076297,-8.811,7.218,92.27262099333335,-0.31206204021140355,0.37775006149603296,11.22272280153083,0.0,1.29,4.638944923333333,0.21010109393138038,0.13994408858148955,2.179154459876582,0.0,1.042,3.4973692600000006,-0.44421970040506903,1.035321496203089,1.8340659530125956,0.0,1.442,4.255906110000001,0.16800100308940671,-0.0027658563196575336,2.1058986300389675,3
0.278,3.8040000000000003,34.14921319333334,-1.3949166920314082,2.574529591231891,6.066940095303398,-8.959,5.135000000000001,22.689699583333326,0.8717932273366221,0.045205590968353526,7.882259549139447,-7.054,6.994,39.421360306666664,0.668538365026201,-0.3536532919296689,8.030716142412208,0.0,0.772,2.5391080833333333,1.0963190590235672,0.8828760115993517,1.6798642087978422,0.0,0.266,2.846099073333333,0.4187243117033558,1.0152745492872066,1.6561818740705987,0.0,0.666,1.8983498900000004,1.5749109092977343,2.5744639824636213,1.4614502112627716,3
0.468,2.34,27.987812476666665,-2.0626101957152367,5.1682357183510526,5.375157519552334,-9.202,5.3500000000000005,13.566434493333333,0.5742774418321375,-0.14649544868482778,7.800879858067294,-4.985,8.57,36.089132740000004,0.6571570369896755,-0.18642318464948815,7.432075362911762,0.0,2.314,3.2983038733333334,-0.292636028293009,1.282628757629408,1.9968175179520036,-0.138,0.286,2.14295176,-0.7925282546503968,2.217722896582626,1.4507062555872572,0.418,1.108,2.2706874399999997,1.3754781672915106,0.5592671145739492,1.7389594244835043,3
-0.42,4.17,84.51212549,0.11531611331725257,1.063772430831575,9.241131374458432,-9.251,5.236,39.78170166666666,0.7897967289011563,0.7198668952089848,8.604197106063994,-8.689,6.377999999999999,76.44545591666669,0.0714368254618541,-0.16940880715588813,10.697296912771936,0.0,1.881,4.030544306666666,0.127768373342542,0.2694237501534622,2.0790543331043563,0.0,0.31,2.5946764733333336,-0.028473345094355652,1.5779940029206418,1.5788920292407584,0.0,1.163,3.5484384266666673,0.16099535666174944,1.181540558388246,1.9943197737574587,3
0.0,3.547,29.035723810000004,-1.2661813799862616,1.569854502570938,5.577154654481082,-9.347,4.944999999999999,35.906643643333325,0.9656417552465666,-0.6255989137866114,8.267194372941766,-7.634,6.761,55.08493214333333,-0.6411209325568105,2.7543676681055853,9.4572469778472,0.143,1.908,4.54890244,0.01736589912442281,0.04663294624456116,2.2568250618955825,0.0,0.8420000000000001,2.6105978333333333,-0.2534137844127167,1.6870537128176908,1.583793471384448,0.146,1.297,2.3509723066666663,1.3172043746062905,0.8737793953421513,1.7068370279555105,3
-0.188,4.98,55.335036333333335,0.25880186338825883,2.13874695485577,7.5144931645454305,-9.305,11.653,82.48085300666666,0.29672066316934204,-1.060200938450121,9.837476936694692,-8.926,5.609000000000001,60.40506934000001,-0.6101289165455768,2.3979137902496985,10.161148070961273,0.0,1.872,4.843082126666666,0.4451358346475834,-0.4634623640996054,2.312008209327986,0.0,0.551,3.740677643333333,0.346512846198641,0.5395732698779754,1.9132636201004818,0.0,0.545,3.8980954999999997,0.696609663262721,-0.03758519638528135,2.0578374377000728,3
-0.412,3.113,25.245819190000002,-0.4576088405805491,0.9032185169771401,5.263098019227838,-5.453,8.5,47.70814641000001,0.511970750406424,0.2103375668732359,8.230935302868076,-7.239,9.28,54.87344958333335,0.15641793183252928,-0.6968517191816472,8.542982359808546,0.0,1.001,3.780722749999999,0.3696646779305734,0.9494481364988911,1.991396966955609,0.0,0.594,2.6881,-0.2882623479654937,1.81025970136512,1.6249323555151458,0.0,1.772,1.9343500566666665,0.9951631324167456,0.43951528416300834,1.609173129280998,3
-0.689,2.049,15.131243160000002,-1.4197634434145545,2.036836075996523,4.214511430759205,-4.714,11.507,45.67597159000001,0.311083912441482,-1.1542785208946664,7.691362589294566,-6.792,9.152,34.643240326666664,0.7336149117350143,-0.18300625446387775,7.555189657447389,0.0,1.948,2.69311825,0.9914315310400688,-0.028492972847214748,1.8124454419374947,0.0,0.345,1.76854634,-1.1078059424213615,2.4252449659925164,1.3253609470631011,0.498,1.37,1.7408334933333336,1.5335571525426777,1.3854720069955473,1.5667057030597673,3
-1.473,2.9750000000000005,19.97267301,-0.5611382252085094,1.5287138525272992,4.894329461734262,-7.294,10.004999999999999,38.74445219333332,0.3551369241682021,-1.2928967605150175,7.591785044375269,-5.438,7.356999999999999,39.36490351,0.9253541402791973,-0.3392536734164895,7.770247983172737,0.0,1.009,4.26432229,0.637035056159669,0.08038833789319888,2.174968864144956,0.0,0.637,2.5588467266666663,-0.17919287720685784,1.722861896162037,1.5741689490013453,0.0,0.78,2.8225318766666674,1.1281357372016725,0.6460624638546348,1.76967982414899,3
-0.878,3.06,44.31910109333334,-0.9699407982507601,1.465301068666676,6.885206541564312,-8.106,5.073,21.602719190000002,1.1608563586038545,0.5966868946957979,7.762436715362,-5.501,6.111000000000001,51.729125676666676,-0.25248575298348497,1.465935476933848,8.74215475955442,0.0,1.453,2.8991460833333336,0.2098638390354444,0.363506257061482,1.79944313608405,0.0,0.456,3.100690026666667,-0.2576401646087923,0.635267589920097,1.734573838151608,0.0,1.382,2.8189016233333333,1.0627155481459725,0.32629050574949536,1.797293420674543,3
-0.41,3.048,41.901827276666666,-1.6146165934632084,2.67309413967501,6.772780814407033,-5.053,8.983,51.49025215666668,0.9419788639987712,0.4503654244174653,8.23912404810123,-9.114,7.921000000000001,51.390426873333325,-0.027044193378580175,0.3639768108683126,9.147346117863911,0.0,1.958,3.2232725100000006,-0.18319645909798735,1.0734826424479866,1.8623236560812946,0.0,0.34099999999999997,3.6726769266666675,0.37756160724149923,0.784521914573431,1.8780025133103524,0.0,1.303,1.9234161400000005,1.4762049297719355,1.0779358699000738,1.6006013869792817,3
-0.772,2.339,14.945517426666663,-0.5981996979641986,1.8660066900583336,4.040543928730388,-5.965,7.627000000000001,32.75017937333333,0.38290276521403205,-1.1323567003736406,7.7025132729518875,-7.23,8.012,39.362409416666665,0.7279607548499024,-0.36063682875257896,7.390372033937128,0.0,0.97,4.283936026666667,0.5252922161923139,0.2297915131290318,2.166694367002416,0.0,0.647,3.6329622500000003,-0.1845119795035901,0.7214675268918622,1.8680046895016083,0.0,0.708,2.125612126666666,1.5491923337462217,1.6467365457488397,1.5360652069492362,3
-0.695,2.1599999999999997,55.14708349333335,0.007892711635770986,2.01407984976061,7.3623635009418,-9.324,7.646000000000001,40.42131522333333,0.8286771028805441,0.15787516048305283,8.757308789805233,-8.253,5.880000000000001,69.22820625000001,0.019955736453932588,0.03557092584884103,10.13514446073661,0.0,2.519,4.737167423333332,0.08130902333901473,-0.05803401483389781,2.301448917529998,0.0,1.222,2.640332323333333,-0.11521134978110559,1.664462672837498,1.593042296990259,0.0,0.754,5.060730489999999,0.09751431738640323,-0.14281968390752375,2.22941364488513,3
