accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1
1.592,1.306,-9.542,0.271,-1.879,2.244
0.546,3.363,-6.752,0.203,-1.12,1.505
-1.274,4.455,-5.525,0.222,-0.882,0.618
-1.941,5.798,-5.646,0.109,-0.975,0.21
-1.753,5.576,-4.852,1.273,-0.941,0.0
0.439,4.785,-6.2,1.506,-1.617,-0.596
2.674,3.735,-7.166,1.892,-2.554,-2.212
3.287,-0.637,-8.812,2.609,-0.272,-4.373
-7.986,-9.425,-11.57,4.436,0.624,-4.373
-13.12,-13.386,-12.712,2.048,-1.33,-4.373
-15.173,-19.298,-7.968,0.203,-1.789,-4.373
-7.502,-19.298,-3.628,-1.736,-3.056,-4.373
-12.316,-13.588,-6.817,-0.235,1.36,-3.91
1.032,-9.218,-7.884,0.0,-0.109,0.224
0.955,-9.152,-8.481,0.0,0.0,0.15
0.639,-9.224,-8.335,0.0,0.151,0.175
0.818,-9.258,-7.875,-0.104,0.0,0.0
0.267,-9.5,-8.196,0.0,-0.231,0.0
-0.179,-9.244,-7.458,0.147,-0.787,0.0
-8.548,-12.204,-3.49,1.158,-4.18,0.659
-15.57,-19.298,-14.077,1.648,-2.584,4.357
-11.945,-19.298,-21.946,-4.294,1.545,4.357
2.649,-14.863,-6.596,-4.294,-1.068,4.252
0.294,-7.924,-5.471,-2.7,0.0,0.153
-4.744,-4.588,-8.526,-0.67,-0.666,-0.738
-8.804,-3.019,-11.155,0.223,0.638,-0.673
-18.06,-4.421,-15.678,0.0,1.479,-0.938
-20.381,-10.645,-18.17,-0.742,-0.821,0.262
-15.109,-5.231,-13.487,-0.302,-3.357,1.414
-3.878,-1.712,-19.42,1.235,-3.555,2.071
-1.005,-2.227,-14.327,1.58,-3.489,1.588
0.681,-0.102,-10.816,0.455,-1.423,2.113
-0.45,1.282,-4.349,-0.557,-0.834,1.714
-1.106,1.968,-2.877,0.0,-0.322,1.235
-2.925,2.017,-2.674,1.004,-0.564,0.476
-1.072,1.919,-3.4,1.546,-0.456,-0.154
-0.503,1.75,-5.712,2.306,-1.792,-1.527
-0.859,-9.278,-8.869,0.0,-0.32,-0.14
0.286,-9.24,-8.578,0.14,-0.262,0.197
0.499,-9.268,-8.58,0.0,-0.292,0.102
0.397,-9.3,-8.727,0.0,0.0,0.0
-0.168,-9.318,-8.628,0.0,0.224,0.0
-0.267,-9.438,-8.349,0.0,0.0,0.0
0.0,-9.305,-8.511,0.0,-0.2,0.0
-0.204,-9.422,-8.445,0.0,-0.324,0.0
-0.264,-9.528,-8.212,0.172,-0.502,0.111
-1.996,-9.317,-7.819,0.303,-1.712,0.267
-8.859,-11.704,-5.193,1.618,-4.355,1.296
-9.807,-12.59,-13.173,0.877,1.045,3.134
-7.04,-17.22,-17.303,-2.854,-0.193,4.357
-4.562,-15.382,-12.219,-4.294,1.735,3.476
-0.157,-7.83,-5.457,-2.92,0.489,0.965
-4.404,-4.778,-10.159,-0.605,0.0,-0.591
-16.937,-5.586,-19.087,-0.289,0.216,-0.71
-20.381,-6.785,-17.325,-1.641,-0.71,0.396
-16.456,-4.322,-16.04,-0.546,-2.98,1.28
-8.962,-0.47,-18.919,0.384,-3.407,1.889
-2.97,-0.998,-14.478,0.338,-3.95,1.911
-0.569,-0.121,-11.449,0.488,-2.341,1.509
-0.723,1.073,-6.631,-0.174,-1.49,1.122
-2.907,1.795,-3.593,0.0,-0.801,0.578
-4.844,2.04,-2.835,0.0,-0.581,0.289
-4.817,1.543,-3.231,0.654,-0.736,0.516
-10.147,-17.408,-9.152,-0.838,-2.651,-4.373
-7.346,-17.872,-7.43,-0.702,-0.468,-4.373
-9.334,-12.234,-6.588,0.0,0.313,-1.848
-1.612,-10.898,-5.994,1.161,-0.619,1.8
1.616,-8.893,-9.088,1.003,-0.907,0.453
0.728,-9.149,-8.274,0.0,0.0,-0.348
-0.44,-9.209,-8.3,0.0,-0.111,-0.119
0.0,-9.273,-7.742,0.0,0.256,0.0
0.0,-9.342,-7.798,0.0,-0.119,0.0
0.0,-9.238,-8.045,0.0,0.0,0.0
-0.441,-9.288,-7.99,0.0,0.0,0.0
-1.315,-9.325,-8.106,0.0,-0.394,0.193
-13.196,-11.264,-11.221,-0.398,-1.523,2.235
-11.07,-15.993,-19.065,-2.168,-2.781,4.357
-7.245,-14.261,-19.701,-4.294,-0.685,4.357
0.769,-10.591,-10.588,-4.294,-1.346,2.36
-5.052,-7.06,-5.875,-1.788,-1.095,0.292
-18.554,-7.634,-13.473,-0.18,1.333,-0.37
-20.381,-8.541,-15.041,-1.277,-2.064,1.097
-11.583,-3.001,-13.778,0.0,-3.014,1.255
-6.089,-0.178,-14.888,1.119,-2.429,1.099
-1.998,-0.711,-11.607,1.951,-2.612,0.962
-2.28,1.718,-11.914,1.333,-2.039,0.668
-2.035,2.192,-6.398,0.0,-0.837,1.062
-2.114,2.258,-3.586,-0.354,-0.26,0.719
-1.841,1.368,-2.781,0.439,-0.262,0.199
-1.986,1.032,-4.537,1.245,-0.205,-0.65
-2.469,-19.298,-8.201,-1.006,-0.79,-3.797
-11.27,-15.149,-8.13,-0.978,1.415,-4.373
-4.966,-11.538,-7.003,-0.323,-0.37,1.791
3.324,-9.975,-8.423,0.327,0.776,0.717
-0.606,-9.327,-8.606,0.128,0.575,-0.464
0.0,-9.505,-8.527,0.315,-0.159,0.123
0.377,-9.246,-8.727,0.0,-0.275,0.0
-0.179,-9.686,-8.774,0.183,-0.712,0.0
-17.338,-14.096,-7.045,1.739,-4.355,1.331
-13.104,-17.84,-24.275,-0.828,-1.905,4.357
-6.534,-19.298,-18.711,-4.294,0.613,4.357
2.377,-13.567,-2.624,-4.294,-1.536,1.584
-8.884,-8.41,-8.326,-1.437,-0.84,0.638
-20.381,-6.201,-17.428,-0.818,-1.19,0.472
-15.536,-3.735,-14.582,-0.526,-2.817,1.16
-8.824,-1.14,-14.627,0.427,-1.795,1.86
-0.135,-0.901,-12.755,0.927,-3.529,1.775
0.0,0.788,-9.741,1.142,-2.313,1.304
-0.601,2.125,-6.338,0.21,-1.486,0.755
-2.339,2.378,-4.625,0.839,-0.998,0.598
-2.764,2.142,-4.466,1.698,-1.328,0.237
-2.596,1.521,-6.339,2.953,-1.683,0.146
-1.652,-9.644,-12.395,2.992,0.212,-4.373
0.497,-9.025,-9.449,-0.331,-0.867,0.0
1.044,-9.475,-8.374,0.11,-0.293,0.0
0.419,-9.276,-8.101,0.0,0.0,0.0
1.082,-9.432,-8.189,0.0,-0.284,0.108
0.798,-9.224,-8.36,0.0,0.0,0.0
0.166,-9.203,-8.367,0.0,0.0,0.0
0.448,-9.234,-8.139,0.0,-0.19,0.0
0.0,-9.146,-8.048,0.0,-0.621,0.121
-1.904,-10.615,-6.288,0.315,-1.619,0.15
-10.083,-14.232,-5.992,3.148,-4.355,1.885
-14.48,-13.417,-15.067,1.023,0.16,4.357
-3.481,-19.298,-18.144,-4.294,1.886,4.357
0.972,-12.547,-9.691,-4.294,-1.701,3.222
-2.153,-7.49,-7.584,-2.048,-0.562,0.284
-8.741,-6.801,-11.375,-0.5,0.733,-0.247
-20.381,-7.855,-14.374,-0.914,0.211,0.261
-18.637,-7.262,-16.565,-1.11,-0.192,1.704
-13.417,-3.565,-14.368,-0.747,-2.801,1.945
-5.039,-0.758,-13.856,0.613,-3.202,2.204
-0.617,-0.215,-12.374,0.905,-2.913,1.73
0.0,1.428,-9.738,0.683,-1.557,1.116
-1.91,2.751,-6.165,0.0,-0.998,0.452
-3.194,2.874,-4.4,0.0,-0.448,0.108
-3.298,1.987,-4.444,0.603,0.0,0.0
-0.983,1.127,-7.884,1.598,-1.822,-2.312
-4.158,-10.971,-6.637,-0.264,0.566,-0.883
-0.589,-9.847,-7.687,0.497,1.233,0.463
