accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1
-4.306,-13.811,-12.473,-2.241,1.773,2.703
-2.815,-19.928,-12.135,-3.711,-0.785,4.357
-0.634,-19.928,-10.64,-3.376,-4.354,4.357
6.895,-17.219,-8.854,1.103,-3.002,4.357
7.254,-8.29,-7.103,1.072,0.14,1.474
7.868,-11.928,-7.848,2.543,1.022,-2.071
3.16,-18.212,-13.925,4.441,3.872,-4.356
3.385,-19.928,-19.447,4.441,4.376,-4.374
1.557,-19.928,-21.262,4.34,4.376,-4.374
-2.363,-18.293,-17.699,2.609,4.376,-4.374
-2.183,-13.349,-13.876,0.376,-1.129,-3.166
0.0,-11.837,-15.762,-0.367,0.737,-2.46
-2.599,-14.985,-14.529,-2.231,4.376,-2.907
-3.35,-17.41,-15.326,-2.001,-0.376,3.722
-0.693,-19.297,-11.145,-2.896,-1.872,4.247
0.0,-19.928,-12.711,-1.535,-4.036,4.357
3.118,-19.928,-14.531,-0.28,-2.583,4.357
1.486,-11.699,-12.024,-1.245,-0.249,3.467
1.423,-6.902,-10.273,-1.725,-0.631,2.813
6.881,-4.081,-6.557,-0.503,-1.056,0.612
5.325,-8.191,-9.388,0.222,-0.44,-3.186
6.586,-19.928,-12.051,0.662,1.814,-4.374
-2.549,-19.928,-16.952,2.148,4.376,-4.374
-20.647,-15.548,-13.997,3.692,0.43,-4.374
1.304,-14.1,-10.15,-3.414,-3.377,2.262
-2.505,-10.504,-10.818,-0.185,-1.802,-3.272
-6.016,-12.602,-6.023,-0.327,-1.081,-1.507
-6.576,-13.363,-11.875,3.546,-1.965,2.126
1.343,-19.928,-15.221,4.092,0.0,4.166
-3.143,-19.928,-21.036,1.173,0.0,3.738
6.611,-19.928,-18.547,-2.365,-0.919,4.357
6.385,-19.699,-15.657,-4.289,0.27,4.357
6.956,-11.017,-9.207,-3.576,-1.162,2.866
6.044,-4.44,-11.658,-0.833,-2.083,-0.622
5.217,-9.345,-10.531,-1.506,-1.575,-4.023
2.751,-19.928,-9.649,-3.885,-3.087,-4.374
-1.43,-19.928,-6.874,-1.716,-2.264,-4.374
-5.313,-19.928,-8.211,1.77,-1.003,-4.374
-0.756,-19.928,-14.018,-2.357,-1.885,4.357
1.205,-19.928,-13.648,-3.377,-1.587,4.357
1.36,-18.701,-11.674,-1.852,-2.405,4.357
4.643,-13.467,-9.492,-1.855,-1.847,4.357
6.282,-4.823,-8.671,1.419,0.0,0.962
3.655,-5.945,-8.853,0.663,-0.138,-2.093
1.969,-13.119,-10.279,1.037,0.224,-4.374
1.067,-19.928,-13.562,1.808,2.886,-4.374
-2.4,-19.928,-15.709,4.261,4.376,-4.374
-12.393,-15.362,-18.076,2.695,-0.185,-4.374
-0.594,-13.944,-11.603,-3.595,0.238,1.173
-4.904,-7.277,-11.576,0.238,3.616,-0.995
-5.295,-13.914,-10.233,0.179,-1.167,1.665
-2.877,-16.654,-16.654,-0.31,-3.621,3.811
-0.119,-19.928,-13.863,-3.797,-0.972,4.357
1.375,-19.928,-10.718,-3.439,-1.984,4.357
2.425,-13.746,-10.033,-0.54,-3.03,3.413
4.016,-8.554,-9.413,-0.518,-1.68,2.066
5.237,-7.298,-7.827,0.792,1.323,-0.638
2.41,-12.796,-9.802,3.075,2.686,-3.173
0.297,-19.928,-14.655,4.441,2.302,-4.374
3.043,-19.928,-21.291,4.441,4.376,-4.374
-3.666,-13.701,-14.195,0.453,-2.276,-1.266
5.023,-13.996,-19.432,1.262,1.849,-3.452
-0.34,-15.854,-16.96,-1.052,4.376,-4.374
-6.187,-13.991,-13.28,-0.191,-1.345,2.022
-1.098,-19.535,-13.059,-2.099,-2.069,4.206
0.245,-19.928,-13.768,-2.318,-2.658,4.357
2.531,-19.928,-12.148,-1.628,-2.061,4.357
3.171,-13.781,-13.537,-1.415,-1.614,3.714
1.908,-8.089,-11.695,-1.532,-0.798,2.273
2.966,-5.486,-9.985,-1.085,-0.823,0.565
2.665,-6.344,-9.961,-0.269,-0.476,-1.803
3.671,-15.499,-10.824,-0.483,-0.296,-4.229
-0.877,-19.928,-11.902,0.978,1.352,-4.374
-5.612,-19.928,-11.648,-0.493,1.96,-4.374
-3.979,-15.497,-15.247,2.069,0.46,-2.587
-4.202,-12.132,-8.929,-3.693,-0.887,-1.818
-4.075,-13.267,-5.675,0.43,-1.53,-1.844
-4.966,-11.382,-10.53,2.828,-2.54,0.223
-1.686,-13.464,-11.965,3.636,-2.739,1.992
0.909,-15.1,-16.536,3.388,-3.163,0.55
-9.378,-15.184,-17.99,3.708,-3.468,0.188
-4.117,-19.928,-31.072,4.441,-4.354,4.357
-2.238,-19.928,-26.104,-0.841,-3.191,4.357
1.283,-19.928,-16.578,-2.55,-2.39,4.357
2.033,-15.719,-14.343,-2.25,-2.073,4.357
4.426,-10.176,-10.427,-2.47,0.0,2.863
5.068,-7.016,-6.785,-1.624,-0.715,0.131
4.562,-10.614,-7.28,-0.68,-0.294,-3.251
-8.175,-8.344,-15.719,-1.13,1.787,0.511
-6.102,-19.113,-11.855,-3.097,0.462,3.658
-2.924,-19.928,-11.055,-3.284,-4.354,4.357
-4.005,-15.736,-13.243,3.575,-4.354,0.406
5.948,-14.297,-12.996,1.206,2.826,4.357
5.873,-5.265,-7.195,-1.294,0.233,1.14
6.951,-8.33,-6.858,-0.448,0.28,-1.504
3.808,-17.109,-8.303,1.205,1.091,-4.374
2.272,-19.928,-13.371,0.67,2.596,-4.374
-1.013,-19.928,-15.561,4.441,4.376,-4.374
-18.4,-14.608,-16.505,2.17,-0.152,-4.374
-1.619,-14.319,-14.661,-2.161,-1.121,4.168
-2.009,-10.564,-13.064,-1.307,0.142,1.019
-2.689,-15.878,-11.802,-1.514,-0.836,3.15
-0.602,-19.114,-13.601,-2.578,-1.238,4.357
0.467,-19.928,-11.221,-4.004,-1.852,4.357
4.108,-16.581,-9.456,-0.924,-2.478,3.773
5.013,-7.889,-8.969,-0.795,-0.58,1.435
3.99,-7.728,-6.054,0.422,1.794,-0.562
3.975,-12.989,-8.452,3.488,3.285,-1.819
3.466,-19.928,-15.208,4.441,4.376,-2.872
-0.419,-19.928,-23.957,4.441,4.376,-3.287
5.882,-14.349,-21.457,-0.361,1.1,-1.155
4.382,-16.308,-23.18,1.331,4.376,-3.672
0.84,-16.821,-19.197,-0.33,4.376,-4.039
-1.795,-13.352,-12.012,-1.018,-0.545,3.292
-0.941,-19.928,-11.071,-2.699,-2.548,3.728
0.354,-19.928,-11.482,-0.691,-3.38,4.173
1.944,-15.995,-14.127,-0.589,-1.942,4.357
2.255,-11.219,-11.407,-0.788,-0.574,3.208
1.553,-7.477,-10.619,-0.906,-0.194,1.819
2.338,-7.102,-9.617,-0.836,-0.269,0.204
4.208,-13.077,-9.12,-0.596,-0.183,-2.424
1.659,-17.499,-10.312,1.613,2.705,-4.374
-1.206,-19.928,-13.924,0.911,3.77,-4.374
1.634,-19.928,-12.302,4.042,3.512,-4.374
-7.535,-16.712,-16.539,1.758,0.825,-4.374
-6.948,-9.573,-14.725,-0.226,-1.54,-0.36
-1.248,-9.719,-11.315,-0.753,1.452,0.398
-4.542,-10.213,-11.656,-0.517,0.347,0.441
-5.102,-15.06,-14.965,-0.683,-1.253,1.638
-2.713,-19.928,-13.313,-2.597,-1.916,4.357
0.746,-19.928,-14.83,-0.578,-3.201,4.357
2.001,-19.928,-14.409,-1.873,-1.559,4.357
3.719,-16.8,-12.898,-2.425,-0.503,4.357
3.223,-8.328,-11.521,-2.221,-0.344,2.668
5.015,-5.083,-9.583,-1.802,-1.451,0.273
4.769,-7.592,-9.485,-0.429,-0.698,-2.934
3.856,-18.945,-10.276,-1.642,-0.12,-4.374
0.625,-19.928,-12.493,2.472,3.3,-4.374
-1.962,-19.928,-14.838,4.441,4.376,-4.098
-9.224,-11.919,-13.399,-2.2,1.333,-3.543
-5.835,-10.28,-7.006,-0.582,-3.027,-0.265
-4.225,-10.03,-11.69,2.611,-1.154,0.847
-3.09,-11.57,-14.975,1.249,-0.404,2.733
-3.73,-19.928,-14.913,-2.527,0.531,3.368
-0.765,-19.928,-13.293,-3.514,-2.231,4.357
3.154,-19.928,-14.543,-2.321,-3.148,4.357
3.299,-17.814,-12.581,-1.802,-1.537,4.357
3.851,-10.03,-9.307,-1.501,-1.412,3.134
4.15,-3.654,-9.287,0.131,-0.848,0.404
3.946,-4.553,-8.295,0.256,0.648,-1.516
3.208,-10.741,-9.447,1.494,1.559,-3.836
4.256,-19.928,-13.828,2.397,3.179,-4.374
1.561,-19.928,-18.591,4.441,4.376,-4.374
-17.01,-19.928,-21.269,4.441,0.356,-4.374
-2.416,-13.321,-12.257,-4.289,0.866,1.896
0.931,-11.845,-9.43,3.288,1.29,-0.708
-3.961,-7.057,-14.162,0.246,1.361,-1.284
-8.477,-10.806,-13.932,-1.152,-1.956,-0.157
-2.806,-18.315,-13.129,-2.585,-2.46,4.102
0.613,-19.928,-14.242,-3.337,-0.901,4.357
2.119,-19.928,-9.368,-3.825,-2.961,4.258
1.58,-17.633,-15.027,-0.732,-4.112,3.332
1.423,-10.211,-11.392,-1.165,-1.73,2.467
-0.113,-12.326,-11.946,0.114,-1.042,1.608
-1.123,-9.202,-11.544,-0.138,-1.345,0.699
-5.751,-18.781,-10.605,1.396,-2.706,0.691
-0.248,-18.771,-17.612,1.257,-0.693,4.357
2.683,-17.34,-14.187,-2.097,1.008,4.357
3.136,-12.059,-10.014,-3.503,0.904,3.688
6.95,-8.474,-4.77,-1.856,0.1,0.643
4.038,-13.859,-9.004,2.208,1.084,-2.534
2.345,-19.928,-13.465,4.441,2.243,-4.374
-2.081,-19.928,-18.278,4.047,4.376,-4.374
-1.871,-19.928,-15.636,3.013,3.171,-4.262
-5.408,-12.351,-13.867,0.49,-1.168,-2.956
-2.446,-11.011,-12.377,0.182,-1.086,-1.351
-6.677,-9.878,-14.119,0.647,-0.116,-1.35
-6.449,-13.016,-13.946,-1.296,-0.841,1.805
-2.05,-19.928,-12.318,-1.959,-1.39,4.357
0.813,-19.928,-14.393,-1.765,-2.336,4.357
2.892,-19.928,-13.926,-1.628,-2.414,4.357
4.106,-18.827,-13.255,-4.135,-1.321,4.357
7.641,-11.967,-5.153,-2.797,-1.267,2.303
6.052,-7.534,-8.451,0.0,-0.768,-0.97
3.421,-13.261,-9.673,0.955,0.674,-3.837
5.38,-19.928,-13.104,4.441,4.376,-4.374
-1.948,-19.928,-26.205,4.441,4.376,-4.374
0.698,-19.928,-17.732,0.493,1.779,-3.452
0.158,-10.999,-17.492,0.539,4.376,-1.872
-0.485,-9.794,-16.598,0.45,4.376,-2.218
-0.964,-11.328,-14.939,-0.402,2.841,-2.205
0.397,-13.294,-13.458,-0.525,3.016,-2.214
-0.387,-14.565,-12.918,0.0,2.701,-3.107
-4.079,-15.877,-12.836,-0.146,1.941,-3.587
-7.986,-15.418,-14.231,-0.175,3.23,-2.289
-10.747,-11.152,-13.363,-1.743,-1.428,0.0
-4.51,-17.088,-11.175,-1.705,-1.738,2.841
0.218,-19.928,-16.647,-0.291,-1.183,4.357
1.058,-19.928,-16.802,-4.289,0.0,4.357
3.523,-19.928,-9.77,-4.289,-1.091,3.816
2.806,-7.854,-9.943,-1.303,-2.206,1.854
4.584,-5.208,-7.475,-0.543,-2.318,0.0
4.19,-11.067,-9.096,1.522,-1.133,-2.691
2.31,-19.928,-12.493,1.959,0.54,-4.374
-3.006,-19.928,-14.879,2.544,2.131,-4.374
-1.231,-19.928,-13.674,2.879,4.376,-3.619
-4.67,-13.283,-13.648,-0.433,1.092,-3.075
-1.176,-12.669,-11.759,0.0,0.316,-1.63
-2.709,-10.515,-14.025,0.935,3.717,-1.325
-6.185,-9.869,-12.503,-0.552,2.102,-1.092
-9.237,-13.808,-13.511,0.444,-4.354,1.158
