accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1
-3.493,-10.313,1.206,-0.348,2.261,2.981
-7.125,-10.26,7.7,1.205,2.652,3.64
-9.018,-6.257,9.106,2.893,3.521,3.601
-0.117,-2.681,4.743,3.911,3.152,4.393
5.136,3.787,-7.783,4.431,3.178,4.393
8.288,9.575,-20.639,3.344,-0.26,2.783
5.062,9.168,-23.005,-1.441,-3.091,-0.536
-1.845,-17.245,9.106,-4.3,-3.309,-3.442
-15.015,4.829,6.16,-0.723,1.176,-2.185
-0.634,-10.213,-9.272,0.0,0.0,0.0
-0.778,-10.33,-9.432,0.0,0.0,0.0
-0.846,-10.376,-9.237,0.0,0.0,0.0
-0.679,-10.24,-9.486,0.0,0.0,0.0
-0.542,-10.21,-9.763,0.0,0.0,0.0
-0.794,-10.298,-9.476,0.0,-0.208,0.0
-1.157,-10.56,-8.471,0.0,-0.145,0.0
-2.373,-11.749,-4.318,1.124,-1.785,0.412
0.281,-11.901,-1.759,2.929,-3.113,0.86
5.281,-10.881,0.195,3.584,-2.211,0.218
5.195,-10.797,0.974,3.658,-0.854,-1.524
1.128,-8.355,-3.199,2.498,-0.571,-2.223
-3.048,-5.479,-6.913,0.282,-0.847,-1.334
-1.656,-4.229,-7.562,0.304,-0.308,-0.344
-1.885,-4.179,-5.585,-0.605,1.117,-0.147
-5.491,-7.533,1.549,0.167,2.03,1.874
-6.175,-8.188,7.458,1.86,2.907,3.035
-11.115,-3.445,9.106,2.141,4.377,3.588
0.803,-0.345,5.594,3.815,3.179,4.393
7.501,4.537,-5.701,4.431,3.27,3.978
6.582,11.395,-24.81,3.532,0.528,1.797
5.383,7.157,-24.252,-1.891,-3.095,-0.457
-14.385,-19.53,9.106,-4.3,-1.254,-3.255
-5.78,2.955,-0.287,-0.242,0.456,-0.553
-1.2,3.388,-5.416,-0.134,0.0,0.148
-1.091,-10.327,-8.849,0.0,0.0,0.0
-1.074,-10.308,-8.88,0.0,0.0,0.0
-0.732,-10.324,-9.032,0.0,0.0,0.0
-0.73,-10.163,-9.03,0.0,0.0,0.0
-1.027,-10.317,-9.121,0.0,0.0,0.0
-1.152,-10.303,-8.842,0.0,0.0,0.0
-1.736,-10.687,-8.399,0.0,-0.27,0.212
-2.477,-10.869,-6.238,1.144,-2.045,0.527
1.089,-10.624,-3.174,2.234,-2.619,0.729
4.915,-11.234,-0.967,3.302,-1.721,0.102
3.749,-10.205,-0.277,3.932,-0.972,-1.272
2.596,-5.908,-2.858,2.339,-0.96,-2.022
-1.162,-5.212,-4.048,0.597,-0.496,-2.016
-2.073,-4.534,-3.779,0.214,-0.333,-1.034
-0.204,-4.001,-4.088,-0.108,0.0,-0.343
-3.526,-3.901,-2.011,-0.634,0.851,0.726
-4.091,-7.614,1.729,0.851,2.828,2.571
-7.68,-5.531,4.853,1.413,3.591,2.595
-9.095,-0.797,7.866,1.307,3.975,3.454
-4.87,2.713,6.451,2.381,3.783,4.243
0.7,6.318,-1.287,3.052,3.088,4.051
3.144,9.014,-12.008,3.005,1.07,2.717
5.233,10.092,-19.904,0.441,-1.693,0.474
4.095,-10.837,-0.541,-4.3,-3.642,-3.148
-8.228,0.0,6.637,-1.165,-1.697,-2.315
-0.659,-10.292,-9.333,0.0,0.0,0.0
-0.62,-10.309,-9.42,0.0,0.0,0.0
-0.657,-10.253,-9.439,0.0,0.0,0.0
-0.955,-10.232,-9.511,0.0,-0.122,0.0
-1.139,-10.431,-9.51,0.0,-0.151,0.0
-1.235,-10.346,-8.996,0.0,-0.189,0.1
-1.66,-11.048,-7.796,0.284,-0.26,0.254
-1.369,-11.483,-3.012,1.171,-1.671,0.403
2.346,-12.623,-0.991,3.042,-1.433,0.0
2.982,-14.198,2.348,4.431,-1.117,-0.75
3.368,-9.085,-1.08,3.412,-1.216,-1.526
0.45,-6.665,-4.127,1.911,-0.988,-1.943
-2.108,-5.458,-5.81,0.19,0.0,-1.403
