accX1,accY1,accZ1,gyroX1,gyroY1,gyroZ1
-3.885,-4.452,-6.776,-1.107,0.155,-0.663
-4.59,-3.964,-11.953,2.411,-1.473,0.0
-2.782,-8.155,-10.568,2.818,-3.432,-1.079
-3.089,-13.313,-11.101,2.222,-3.169,-3.839
-6.548,-16.762,-9.944,0.92,-2.505,-4.373
-4.725,-18.446,-9.948,0.387,-1.613,-4.277
-7.173,-13.325,-11.572,-0.52,1.417,-2.885
-6.213,-10.884,-9.756,-1.542,1.933,-0.153
-0.786,-10.336,-6.784,-1.062,1.789,1.381
-0.382,-9.685,-8.548,0.455,0.94,0.0
-0.301,-9.421,-8.782,0.0,-0.237,0.472
1.803,-9.348,-8.108,0.0,-0.191,0.528
-0.127,-19.298,-12.214,-4.294,-0.781,2.741
-0.531,-12.214,-13.303,-4.294,1.07,0.884
4.122,-16.315,8.33,-3.274,-2.976,0.728
-3.79,-1.159,-11.574,0.0,1.814,0.114
-3.021,-4.294,-13.198,4.436,1.701,-0.789
-5.159,-8.656,-20.534,4.412,2.338,-0.526
-2.921,-12.661,-24.954,2.661,0.324,0.0
-2.659,-11.894,-24.59,-1.514,0.11,-0.253
-3.911,-9.752,-22.775,-4.294,0.263,-0.559
-16.493,-14.56,8.33,-3.193,-4.355,-0.48
-2.054,-3.931,-17.042,-4.294,0.538,0.0
-6.583,-4.469,-11.415,2.215,-0.315,0.391
-2.652,-4.948,-11.641,1.411,-1.795,0.736
-1.403,-8.996,-11.187,3.264,-3.536,-0.553
-1.553,-14.808,-14.196,4.436,-2.076,-3.248
-6.636,-19.21,-14.118,3.79,-0.876,-4.373
-7.489,-16.297,-10.905,1.369,-2.603,-3.235
-6.857,-11.055,-11.216,-0.265,-0.175,-1.187
-2.93,-9.831,-7.935,-1.495,1.937,1.163
-0.309,-9.762,-7.892,-0.205,0.268,0.492
-0.686,-9.36,-9.162,0.0,0.265,-0.201
-1.12,-9.137,-7.597,-0.508,-0.622,0.195
1.938,-9.647,-4.864,0.0,1.25,0.0
-0.744,-9.035,-8.135,0.163,-0.287,0.0
-0.428,-9.384,-7.967,0.0,-0.75,0.0
0.426,-19.298,-13.948,-4.294,-0.109,2.998
-4.758,-13.041,-11.866,-4.294,1.887,1.601
4.618,-6.646,8.33,0.0,-4.355,-0.349
4.969,-1.595,-7.213,-0.996,0.881,0.713
-3.629,-4.822,-11.453,4.436,4.375,-2.066
-5.627,-10.738,-21.401,4.436,4.209,0.0
0.0,-17.845,-29.592,4.436,-0.565,0.808
-0.31,-16.454,-27.401,-2.671,-0.854,-0.436
-2.599,-14.941,-23.145,-4.294,-0.707,-0.704
3.782,-19.298,8.33,-4.294,-1.106,0.0
-5.283,1.951,-19.444,-3.933,-2.07,1.763
-0.622,-4.858,-5.586,0.29,0.0,-1.787
-5.416,-5.581,-12.58,2.846,-1.58,-1.428
-3.394,-12.147,-14.248,4.039,-1.768,-3.145
-8.838,-15.682,-13.743,3.746,-2.047,-3.815
-6.447,-14.243,-11.622,2.202,-3.069,-2.947
-3.513,-14.238,-11.696,1.022,-1.146,-2.995
-6.89,-11.378,-9.793,-1.071,0.746,-2.323
-3.46,-9.679,-7.758,-0.687,0.809,0.773
1.362,-9.458,-7.827,0.0,2.538,0.476
-1.24,-9.42,-8.639,0.0,2.465,-0.713
-2.459,-9.492,-7.914,-0.584,0.871,0.0
1.809,-9.491,-4.535,0.567,0.608,0.193
-0.537,-8.854,-8.467,0.0,-0.97,0.0
-0.108,-9.485,-7.831,0.0,-0.972,0.285
-1.469,-15.997,-14.069,-4.294,0.528,1.486
-3.345,-10.299,-9.565,-4.294,-0.874,1.512
-0.149,-0.892,-0.538,1.391,-1.244,-0.6
-3.275,-1.942,-4.09,1.769,1.844,-0.481
-2.27,-6.938,-19.314,4.436,3.401,-1.911
-3.346,-9.397,-24.509,3.673,1.433,-0.703
-1.694,-11.121,-25.509,1.231,0.584,-0.322
-1.146,-12.331,-25.116,-1.9,0.0,-0.456
-1.571,-10.093,-24.311,-4.294,-0.13,-0.32
-16.321,-10.284,8.33,0.796,-4.355,0.425
-4.92,-2.352,-18.661,-4.045,1.501,-1.541
