accX1_median,accX1_iqr,accX1_var,accX1_skew,accX1_kurtosis,accX1_rms,accY1_median,accY1_iqr,accY1_var,accY1_skew,accY1_kurtosis,accY1_rms,accZ1_median,accZ1_iqr,accZ1_var,accZ1_skew,accZ1_kurtosis,accZ1_rms,gyroX1_median,gyroX1_iqr,gyroX1_var,gyroX1_skew,gyroX1_kurtosis,gyroX1_rms,gyroY1_median,gyroY1_iqr,gyroY1_var,gyroY1_skew,gyroY1_kurtosis,gyroY1_rms,gyroZ1_median,gyroZ1_iqr,gyroZ1_var,gyroZ1_skew,gyroZ1_kurtosis,gyroZ1_rms,accX2_median,accX2_iqr,accX2_var,accX2_skew,accX2_kurtosis,accX2_rms,accY2_median,accY2_iqr,accY2_var,accY2_skew,accY2_kurtosis,accY2_rms,accZ2_median,accZ2_iqr,accZ2_var,accZ2_skew,accZ2_kurtosis,accZ2_rms,gyroX2_median,gyroX2_iqr,gyroX2_var,gyroX2_skew,gyroX2_kurtosis,gyroX2_rms,gyroY2_median,gyroY2_iqr,gyroY2_var,gyroY2_skew,gyroY2_kurtosis,gyroY2_rms,gyroZ2_median,gyroZ2_iqr,gyroZ2_var,gyroZ2_skew,gyroZ2_kurtosis,gyroZ2_rms,class
-1.519,2.3390000000000004,20.372680426666662,-0.5581501122349161,-0.05204454107632328,5.08332717813835,-9.009,9.682,70.62148692666666,1.1716223179050054,0.40631954094330514,9.201522667471945,-7.311,3.6929999999999996,14.560082576666666,2.100961313415471,5.268420872441025,6.73159621486613,0.0,0.825,1.4014920266666666,-0.2916812388540798,0.8129062803412963,1.1724471501948392,0.0,0.974,1.3877755900000002,-0.6951248707224611,0.7254214692225296,1.2452970408701691,0.0,1.056,4.01899134,0.11432964225030091,0.5858094397528046,2.1275431464485037,-0.263,4.332,14.410864976666666,1.2192144335031985,-0.14803636364971506,4.157858054335188,0.0,4.359,27.58369839,0.6545605770245203,0.07967192824091063,5.388363929802812,0.527,3.276,11.220180056666665,1.226246521030296,0.3572910674573202,4.279983752305609,0.0,0.34,1.1854937099999998,1.7817744131969224,2.0597231221411887,1.1630573158705464,0.0,0.1,0.34415133333333325,-1.3494657009274482,5.501888893603235,0.5748588696367136,0.0,0.193,2.6428831566666666,-1.4926579687925767,0.7671090560614338,1.738414530542126,4
-4.429,6.033999999999999,19.664245126666664,-0.7654296465259088,-0.08661551689105806,7.354818450512562,-6.081,8.797,58.36651275000002,0.6245678191617917,-0.006586166315146524,8.956482358604855,-6.504,2.41,3.6527776399999987,0.35731037769920465,-0.42558840979738344,6.195917404226754,0.0,1.173,1.90979246,-1.0718668072403321,0.4183808515397862,1.4128112117335423,0.0,1.32,1.75101296,0.8032823208854617,0.4418380413915175,1.3180569942153488,0.841,4.1690000000000005,6.470180416666667,-0.5473087679307761,-0.8134929582332893,2.5048500633770483,4.119,4.871,25.89598574333333,1.3739444735442299,1.2951433512633654,7.081082883288403,3.291,11.262,46.48002425000001,-0.11934181738796229,-1.2341506098925603,7.536638725585829,5.201,6.510999999999999,15.206586643333333,0.3220915769578595,-0.6709370970434003,6.604138444944957,0.0,0.65,2.34968129,0.48703657632199887,0.8606293178974376,1.5035253373322313,0.137,1.0510000000000002,1.2811031266666666,-1.115328135959928,1.2031133392741076,1.111892027132131,0.137,1.921,5.409085026666666,0.17538838068351498,-0.298056069702334,2.2788500608859725,4
-4.87,5.662,18.01392862333333,-0.04688532984837161,-0.3687927308088237,6.767412013465709,-5.928,10.232999999999999,79.81264160666666,0.4931357886384007,-0.4902649328815052,9.900860772680323,-6.459,4.711,19.122857260000004,0.7963834939220936,1.5238420754800606,6.987317256286565,-0.259,1.581,1.67842289,-0.842275494114818,-0.16095431154403883,1.3833329317268495,0.66,1.97,4.270703959999999,-0.25553488661658114,-0.8124143482703108,2.102241013775538,0.26,3.6180000000000003,6.461553860000001,-0.0814719341758402,-0.7578136410338505,2.5099279033470268,0.964,6.314,28.454306306666663,0.13828553571496988,0.023322719665374247,5.963194932248987,-0.112,4.207,23.290814543333337,0.07034013925553857,0.3422255074174694,4.728552615758864,1.388,4.857,13.377724726666663,0.3563784702546696,-0.4492821104099849,4.448317349290628,0.0,0.755,2.662650423333333,-0.1558016530333634,0.4506095034418891,1.5989521443745587,0.0,1.476,2.32254709,-0.009543716486799317,-0.05374814620712698,1.5016878237503293,-0.112,2.25,3.36135296,0.6019615725338632,0.4256675325398511,1.7965007765097125,4
-3.85,8.457,24.918115893333333,-0.20278194390729762,-0.987080360846456,6.8232624337629,-2.656,12.645000000000001,52.25656992333334,0.21320509455416561,-1.0729326755595172,7.873757339415535,-5.356,5.797,16.49074133333334,0.5508145668090951,-0.09621600234117667,6.121303367747754,-0.196,1.458,2.2859382433333333,-0.5787120690016603,-0.4125274922172597,1.5212731773090593,0.557,2.7079999999999997,4.91405549,-0.43039089094467026,-0.13126472369308173,2.221751660289691,0.496,3.2489999999999997,5.300259209999999,0.15848372721328954,-1.0600903371639283,2.29016225626046,1.442,3.137,18.128645343333336,1.6752056828924669,2.573586475183421,5.026788994974824,-0.1,3.406,15.295150916666664,-0.263073184288975,0.08543822621331865,3.9410133062449813,1.807,3.495,8.54109525,0.8601986619170142,-0.05587398027472634,3.8156161599406193,0.0,0.587,1.4538233600000001,0.05590226492457425,0.2021320141600289,1.1819068660431753,0.0,1.141,0.8917254166666667,-0.1612649837521094,-0.3316773867217666,0.9257129360660356,0.0,0.998,3.1747898400000003,-0.19585265744713767,0.19581711443091132,1.745831927763953,4
-2.889,5.755,16.24098159,-0.15054509909056116,-0.9080852017070797,5.591201981685154,-9.351,9.456,35.241948756666666,0.6517611015626964,-0.9088088648516588,9.33740405680294,-4.912,4.066,6.57749725,-0.1224120748343384,-1.0925172383255177,5.849808554132349,0.112,1.309,4.1800403233333325,-0.03370689558617208,0.36553639131757354,2.0059236575702477,-0.391,1.152,3.488424906666667,1.136412346812753,-0.0012478504349622277,1.8353930151332711,0.128,2.017,2.85500854,-0.06854775791952192,-0.8673155663305869,1.6740048864922705,0.617,2.795,16.976592259999997,1.4248942591455291,1.42245159103648,4.717896616077974,0.0,2.947,16.70453516,-0.39056767590189,0.12959293258862248,4.088624066846939,1.64,2.81,4.880405166666667,1.007964719813991,0.7956253452542308,2.8007748427890453,0.0,0.835,1.7298105433333335,-0.5425260129014684,0.17598804460754458,1.288662422824535,0.133,1.2930000000000001,1.46873204,-0.4573958776190323,-0.09032760099838866,1.1893747096689082,0.0,1.101,2.7246823066666663,0.48792276530391115,0.28172381901885934,1.6173352033514883,4
-1.832,0.921,8.66560296,-1.9502812988117286,3.0864442994621664,3.9237824251607023,-9.262,6.681000000000001,35.954414643333344,0.43813934387861014,-0.7423423054414311,8.915770634106734,-5.798,5.869,9.050778749999997,0.4296145137024342,-1.2017588574201883,6.625969909379306,0.0,1.06,3.06765609,0.5661179757866849,0.05341676174034582,1.7834568567812341,-0.257,0.602,0.5495364066666666,-1.398079406511742,1.7359954611648432,0.8383402650475522,0.0,0.996,0.7328037599999999,1.1768407774127063,0.1473593752090263,1.0251723172228169,0.582,1.1429999999999998,12.791748826666668,2.669624863342288,6.590559416249931,3.942334820889773,0.0,2.188,18.120058906666667,-0.2333610467041558,-0.01372168865706147,4.253063122033342,0.501,2.77,3.5061286733333326,0.584676254335486,-0.7540810257035928,2.2253252885814243,0.0,0.888,2.0882263233333336,-0.7274603862480081,0.8145352198240463,1.4237294967794971,0.0,0.588,0.6857848733333333,-0.01305913659671528,-0.13915197652281686,0.8126345304009669,0.0,0.237,3.827223426666668,0.34956252819074246,0.19980271269244154,1.916986645754216,4
-1.583,2.062,8.228566423333334,-1.4818459227252039,1.4785540127634258,3.5937519057386247,-6.786,8.37,37.55523912333335,0.17688081101912326,-0.7562815508764325,8.344789881117439,-5.313,2.921,13.478953833333334,1.903474196649097,5.438817799565452,6.311942271599132,0.0,1.183,4.564858793333333,0.11986811928579288,-0.11247196281701521,2.1067905069085535,-0.184,1.356,2.9561980233333336,0.4292751584657859,0.6758069132554696,1.6860654079839252,0.116,0.301,0.692735,0.8480561386465323,0.820614878752072,0.8646527395434539,0.959,3.077,27.27778925,1.7600991296822635,2.339053628662678,5.858279689465159,0.0,4.590000000000001,24.672530910000003,-0.021377187396085347,-0.15210200218098713,5.000142217977404,0.373,1.694,11.269592976666665,2.759229424174553,7.849574109282889,3.575655274211987,0.0,0.635,3.1276199066666663,-0.8453990152096102,0.6436434017430486,1.7327787163974515,0.0,0.329,0.7439589066666668,-0.12937656392935512,1.8493808337573352,0.849011189561127,0.0,1.3319999999999999,4.731240676666667,0.30413346973434957,0.10651510771010209,2.133158915786632,4
-2.592,6.382000000000001,25.449003156666674,-1.4108542398033812,1.8142175015781223,6.769416382525158,-9.443,7.968000000000001,38.224021306666664,0.5046862909312817,-0.6707356925087695,10.195530253988755,-5.694,4.438999999999999,6.100814643333333,0.10196687479706472,-1.2859918299502813,6.194944813313513,-0.201,2.1,5.626594726666666,0.29562069247393524,-0.46224990158879553,2.3539684959659084,0.106,1.845,3.4713210233333336,0.24702985130605884,-0.25990403452343713,1.8543429456279117,0.0,1.053,3.944734626666666,-0.4241058187194735,-0.18644689992343233,1.9728412911331719,0.59,1.11,29.157265973333335,1.8643341773774436,2.535065033993651,5.7617505256649215,-0.165,3.574,20.156206333333333,-0.4334702279971563,-0.4418046518907883,4.617729000277085,0.136,2.2729999999999997,14.587711143333335,1.5857255424349046,1.573531146365812,4.081529904337343,0.0,0.351,3.0316732500000003,-0.651395224914723,1.1374760834971767,1.7061629347749883,0.107,0.438,0.9885961733333332,-0.27562393546033426,0.2202649922358031,0.9745027039469927,0.0,1.165,3.787498166666666,0.528171307563406,0.48154363143399737,1.9068545513488961,4
-2.198,4.425,17.03554340666667,-1.0496784721334835,0.5011259453727521,5.880608512730634,-9.187,7.431000000000001,36.48246101000001,0.28160721934703026,-1.2053488554715444,8.201060658231958,-6.728,5.686,13.535214726666664,0.9039361713664097,-0.15078225693130554,6.433101908100011,0.0,0.835,3.5134934233333333,0.06002472254778783,0.8307676004963565,1.843996767893046,-0.112,1.077,0.9701681666666667,0.7402365789310551,0.31637326508930563,0.9738942858442081,0.121,0.966,3.76955891,-0.5682851632042264,1.1500162424675944,1.931075783080509,0.572,0.9200000000000002,23.89247044,1.8779761172254776,3.8397221808726023,5.204920164613479,0.0,5.989,21.257806166666665,-0.2535100491108031,-0.5645024047246698,4.855794740307708,0.0,1.738,16.90845176,1.7079890085393687,2.722476013101222,4.284105997754958,0.0,0.503,2.75563056,-0.8777312044544242,1.0097814773252392,1.6265733798387332,0.0,0.744,0.7086904999999999,-0.3633115330837182,1.3000070951359888,0.8256317823339894,0.0,1.072,3.3464383333333334,0.6705442137033945,0.4969260174104857,1.79265300602208,4
-2.216,3.7639999999999993,11.32542132666667,-0.637977237538035,-0.18202410943917302,4.507243259465812,-9.328,4.938,37.09888034,0.7771709345918786,-0.038944896847269206,9.944342608739905,-6.788,6.16,12.045565226666666,0.2818244717166961,-1.175140830787443,6.8205036764156945,0.0,1.7879999999999998,5.487314256666665,0.1320552079169443,-0.3130588548403881,2.295283259207891,0.0,1.31,2.7346285,0.8821630817942285,0.6093578614060347,1.6203580468526084,0.0,1.125,2.0209185266666667,-0.5559089864452452,0.5382736373868107,1.4044353313698714,0.819,2.354,24.16863825666667,2.112015768526246,4.913349166688601,5.147988243964821,-0.392,3.95,16.6427515,-0.4180682760086547,-0.06985119026817221,4.301243006387804,0.169,3.527,12.52627247333333,1.1926549419473458,0.35993771389380713,3.8563882636477356,0.0,0.51,2.1391480733333332,-0.6852778798961401,0.5016672344996427,1.4333978233554006,0.134,0.497,1.3799795766666667,-0.9214497630451619,1.7842468841129442,1.1514380226482015,0.0,1.2670000000000001,2.46311196,0.39614114481480406,-0.14602298033813899,1.5383304716477537,4
